model,method,variant,n,n_q_mean,full_cos_mean,metric,metric_key,threshold,mean,std,se,metric_n
bowphs/LaTa,attention_weighted,abtt,200,83.57,0.5622480082130801,min_recovery_fraction,compactness@0.95,0.95,0.7715445632975304,0.177026206496081,0.0126771099566619,195
bowphs/LaTa,attention_weighted,baseline,200,83.57,0.933024563051996,rho_LOO,loo_rho,,-0.1751917787776704,0.3108029714886127,0.0219770888752527,200
bowphs/LaTa,attention_weighted,baseline,200,83.57,0.933024563051996,sufficiency,suff@0.10_ratio,0.1,-0.5621553321783884,0.3666337792950095,0.0259249231551553,200
bowphs/LaTa,attention_weighted,baseline,200,83.57,0.933024563051996,sufficiency,suff@0.25_ratio,0.25,-0.2895188789418678,0.5314226818881564,0.0375772582039456,200
bowphs/LaTa,attention_weighted,baseline,200,83.57,0.933024563051996,sufficiency,suff@0.50_ratio,0.5,-0.0560500584699152,0.5592083387572497,0.0395420008431315,200
bowphs/LaTa,attention_weighted,baseline,200,83.57,0.933024563051996,comprehensiveness,comp@0.10_ratio,0.1,0.0032741460036461,0.0466402500962461,0.0032979637119292,200
bowphs/LaTa,attention_weighted,baseline,200,83.57,0.933024563051996,comprehensiveness,comp@0.25_ratio,0.25,-0.0026753484549889,0.0638235120353641,0.0045130038159347,200
bowphs/LaTa,attention_weighted,baseline,200,83.57,0.933024563051996,comprehensiveness,comp@0.50_ratio,0.5,-0.0184640696298995,0.1442888236979791,0.0102027605686271,200
bowphs/LaTa,attention_weighted,baseline,200,83.57,0.933024563051996,min_recovery_fraction,compactness@0.70,0.7,0.7486673618273711,0.2902035359323954,0.020520488818211,200
bowphs/LaTa,attention_weighted,baseline,200,83.57,0.933024563051996,min_recovery_fraction,compactness@0.80,0.8,0.7593229601194945,0.2859672961463591,0.0202209414302672,200
bowphs/LaTa,attention_weighted,baseline,200,83.57,0.933024563051996,min_recovery_fraction,compactness@0.90,0.9,0.7741158397988354,0.2850972976605376,0.0201594232473725,200
bowphs/LaTa,attention_weighted,baseline,200,83.57,0.933024563051996,min_recovery_fraction,compactness@0.95,0.95,0.7953022583649966,0.276690596160683,0.0195649796835767,200
bowphs/LaTa,bertscore,abtt,200,83.57,0.5622480082130801,rho_LOO,loo_rho,,0.3965836204925297,0.2657547345076979,0.0187916974902823,200
bowphs/LaTa,bertscore,abtt,200,83.57,0.5622480082130801,sufficiency,suff@0.10_ratio,0.1,0.4826975868264463,0.2831249574649052,0.02027499932524,195
bowphs/LaTa,bertscore,abtt,200,83.57,0.5622480082130801,sufficiency,suff@0.25_ratio,0.25,0.7071371183775618,0.2712246729345228,0.0194228022494892,195
bowphs/LaTa,bertscore,abtt,200,83.57,0.5622480082130801,sufficiency,suff@0.50_ratio,0.5,0.8897697026649499,0.2071457408331121,0.0148340146104509,195
bowphs/LaTa,bertscore,abtt,200,83.57,0.5622480082130801,comprehensiveness,comp@0.10_ratio,0.1,0.0892987478210092,0.0950140916907722,0.0068041004303108,195
bowphs/LaTa,bertscore,abtt,200,83.57,0.5622480082130801,comprehensiveness,comp@0.25_ratio,0.25,0.2161180544835937,0.1547687056717772,0.011083217216739,195
bowphs/LaTa,bertscore,abtt,200,83.57,0.5622480082130801,comprehensiveness,comp@0.50_ratio,0.5,0.4255514446231352,0.2289457593255751,0.0163951463601296,195
bowphs/LaTa,bertscore,abtt,200,83.57,0.5622480082130801,min_recovery_fraction,compactness@0.70,0.7,0.2566163922948312,0.1575752968208843,0.0112842013834613,195
bowphs/LaTa,bertscore,abtt,200,83.57,0.5622480082130801,min_recovery_fraction,compactness@0.80,0.8,0.3443786099611119,0.1814355885198063,0.0129928723619131,195
bowphs/LaTa,bertscore,abtt,200,83.57,0.5622480082130801,min_recovery_fraction,compactness@0.90,0.9,0.4912557564827291,0.2222968144885821,0.0159190055306858,195
bowphs/LaTa,bertscore,abtt,200,83.57,0.5622480082130801,min_recovery_fraction,compactness@0.95,0.95,0.5831800724685154,0.2512716781621705,0.0179939386156779,195
bowphs/LaTa,bertscore,baseline,200,83.57,0.933024563051996,rho_LOO,loo_rho,,0.2269933541497854,0.3250893755734711,0.0229872901959701,200
bowphs/LaTa,bertscore,baseline,200,83.57,0.933024563051996,sufficiency,suff@0.10_ratio,0.1,1.0403045671181983,0.1209277809916889,0.0085508853973064,200
bowphs/LaTa,bertscore,baseline,200,83.57,0.933024563051996,sufficiency,suff@0.25_ratio,0.25,1.0483808901828442,0.1136527737737906,0.0080364647036108,200
bowphs/LaTa,bertscore,baseline,200,83.57,0.933024563051996,sufficiency,suff@0.50_ratio,0.5,1.047602151034045,0.1152317670877058,0.0081481163915825,200
bowphs/LaTa,bertscore,baseline,200,83.57,0.933024563051996,comprehensiveness,comp@0.10_ratio,0.1,0.9094397342927976,0.4960887374709551,0.0350787710335985,200
bowphs/LaTa,bertscore,baseline,200,83.57,0.933024563051996,comprehensiveness,comp@0.25_ratio,0.25,1.2048209484359262,0.2047008916354025,0.0144745388590325,200
bowphs/LaTa,bertscore,baseline,200,83.57,0.933024563051996,comprehensiveness,comp@0.50_ratio,0.5,1.1888701725479474,0.1861583335813442,0.0131633820049755,200
bowphs/LaTa,bertscore,baseline,200,83.57,0.933024563051996,min_recovery_fraction,compactness@0.70,0.7,0.0175225650934289,0.0134836252564556,0.0009534362853817,200
bowphs/LaTa,bertscore,baseline,200,83.57,0.933024563051996,min_recovery_fraction,compactness@0.80,0.8,0.0199831246570571,0.0183067039692083,0.0012944794517801,200
bowphs/LaTa,bertscore,baseline,200,83.57,0.933024563051996,min_recovery_fraction,compactness@0.90,0.9,0.0242420017118045,0.0261228266149571,0.0018471627843196,200
