model,method,variant,n,n_q_mean,full_cos_mean,suff@0.10_raw_mean,suff@0.10_raw_std,suff@0.10_raw_se,suff@0.10_raw_n,suff@0.10_ratio_mean,suff@0.10_ratio_std,suff@0.10_ratio_se,suff@0.10_ratio_n,suff@0.25_raw_mean,suff@0.25_raw_std,suff@0.25_raw_se,suff@0.25_raw_n,suff@0.25_ratio_mean,suff@0.25_ratio_std,suff@0.25_ratio_se,suff@0.25_ratio_n,suff@0.50_raw_mean,suff@0.50_raw_std,suff@0.50_raw_se,suff@0.50_raw_n,suff@0.50_ratio_mean,suff@0.50_ratio_std,suff@0.50_ratio_se,suff@0.50_ratio_n,comp@0.10_drop_mean,comp@0.10_drop_std,comp@0.10_drop_se,comp@0.10_drop_n,comp@0.10_ratio_mean,comp@0.10_ratio_std,comp@0.10_ratio_se,comp@0.10_ratio_n,comp@0.25_drop_mean,comp@0.25_drop_std,comp@0.25_drop_se,comp@0.25_drop_n,comp@0.25_ratio_mean,comp@0.25_ratio_std,comp@0.25_ratio_se,comp@0.25_ratio_n,comp@0.50_drop_mean,comp@0.50_drop_std,comp@0.50_drop_se,comp@0.50_drop_n,comp@0.50_ratio_mean,comp@0.50_ratio_std,comp@0.50_ratio_se,comp@0.50_ratio_n,compactness@0.80_mean,compactness@0.80_std,compactness@0.80_se,compactness@0.80_n,loo_n_used_mean,loo_n_used_std,loo_n_used_se,loo_n_used_n,loo_n_total_mean,loo_n_total_std,loo_n_total_se,loo_n_total_n,loo_rho_mean,loo_rho_std,loo_rho_se,loo_rho_n,loo_p_mean,loo_p_std,loo_p_se,loo_p_n
bowphs/LaTa,attention_standalone,abtt,200,83.57,0.5622480198973789,0.18963401212589814,0.1658056158592841,0.011724227533291156,200,0.35774957265899815,0.3797351790501601,0.02719340099138469,195,0.32639050264609976,0.17555676171137308,0.012413737668926275,200,0.6402305525866718,0.4017999034167677,0.02877348872243549,195,0.4659720845334232,0.19507744955314188,0.013794058743560326,200,0.8730218789165806,0.28043512392799774,0.020082376344793085,195,0.13184196411690208,0.08476720958102539,0.005993946871700433,200,0.250744361386411,0.2572075516981146,0.018419015348628626,195,0.2862999496900011,0.14366191772868508,0.010158431622421712,200,0.5363338286851899,0.30449720073645187,0.021805497455074416,195,0.4551062753307633,0.21447185477654412,0.015165450288615078,200,0.8299458363861163,0.343384528982042,0.024590276871906503,195,0.42162429250784716,0.21247154447004646,0.015215403330513109,195,83.565,51.13216469436492,3.6155900392132803,200,83.57,51.137268220007854,3.615950912972288,200,0.36815039241615083,0.22369016450509802,0.015817283220628916,200,0.09710557542311006,0.22965511636921082,0.016239069011885467,200
bowphs/LaTa,attention_standalone,baseline,200,83.57,0.9330245551466941,0.11547835746314376,0.48715848077658164,0.034447306526965725,200,0.1150622268036874,0.5177310532972843,0.036609113861736355,200,0.23189065884798765,0.5162919501500313,0.036507353902311405,200,0.23851180742570166,0.5518331389584965,0.03902049546410113,200,0.3916023543011397,0.5305543802996474,0.037515860009810706,200,0.40859596773922535,0.5699287014408198,0.04030004495816469,200,0.049317924343049525,0.31675866959673715,0.02239822032714819,200,0.04312718866183118,0.3423426360251555,0.02420727994226655,200,0.11220871344208717,0.40187570944248524,0.028416903934093594,200,0.11155487867428064,0.436654479207481,0.030876134328309015,200,0.32433258175849916,0.5961371901465513,0.04215326496701207,200,0.3421816798646305,0.650029781620132,0.045964046655680595,200,0.5306868691785578,0.3533259718632151,0.02498391906738067,200,82.66,50.178018771561675,3.5481217339877134,200,83.57,51.137268220007854,3.615950912972288,200,0.005162719622093943,0.22159990287484846,0.015669479403308564,200,0.3318223227370322,0.30840036237156093,0.02180719875533193,200
bowphs/LaTa,attention_weighted,abtt,200,83.57,0.5622480198973789,0.07300635352286917,0.10237212687222105,0.007238802511583709,200,0.14219468403829122,0.2899771761396609,0.02076569689655637,195,0.1579506199446041,0.12759539368451908,0.009022356812249062,200,0.29537171898978287,0.36920157620599764,0.02643907402399181,195,0.3156066245839247,0.1795804005350969,0.012698251898656332,200,0.5883427290059151,0.33451821843557106,0.023955347185888445,195,0.08829314318951219,0.058006654024881046,0.004101689841493532,200,0.1588773847999209,0.16473241157570132,0.011796733016574537,195,0.18020849347813056,0.09694419464002116,0.006854989742662751,200,0.33032274348961066,0.20197327626228917,0.014463606728990079,195,0.30212198693072423,0.1588731819695601,0.011234030431936028,200,0.5426671924634328,0.31419138643886535,0.022499712512394285,195,0.6533196631524085,0.20993806560503828,0.015033977140683418,195,83.565,51.13216469436492,3.6155900392132803,200,83.57,51.137268220007854,3.615950912972288,200,0.10564633751215101,0.20872693651734936,0.014759223222771175,200,0.28585968897577135,0.30763972121747507,0.02175341330352156,200
bowphs/LaTa,attention_weighted,baseline,200,83.57,0.9330245551466941,-0.5326189138740302,0.3284157471104108,0.02322250018302178,200,-0.5747221439260322,0.36500754501686483,0.025809931026567912,200,-0.35051626784726975,0.5192294973817217,0.03671506985906982,200,-0.37726557139869804,0.5603027412166403,0.03961938678316976,200,-0.12264625156065449,0.568105132098287,0.040171099133357806,200,-0.13144260101249372,0.6086307480666187,0.04303669291965472,200,0.0015889206528663636,0.04336961552607889,0.003066694923594376,200,0.0014722868285077682,0.04661899852621445,0.00329646099900119,200,-0.003192964345216751,0.052458308969098116,0.0037093626001628364,200,-0.004696877791432405,0.061745428369936704,0.004366061110765047,200,-0.016388268917798997,0.09892240729430986,0.006994870500910409,200,-0.01897075407394027,0.14603109683095827,0.010325957883327994,200,0.7560562909950056,0.28454654901257787,0.02012047943700241,200,82.66,50.178018771561675,3.5481217339877134,200,83.57,51.137268220007854,3.615950912972288,200,-0.1371471267725807,0.24111296129312582,0.01704926099623388,200,0.22499826878624787,0.28033099555576074,0.019822394793425433,200
bowphs/LaTa,bertscore,abtt,200,83.57,0.5622480198973789,0.19368647313676773,0.13808181472418532,0.009763858755001591,200,0.36456386713273276,0.36574361717438864,0.02619144443435639,195,0.35887875145766884,0.16757480024940716,0.011849327761233696,200,0.6262151442419291,0.4639073750733687,0.03322109714666294,195,0.5155779792927205,0.20430553009113334,0.014446582576135262,200,0.9042049127440844,0.43790042277528674,0.03135870060975389,195,0.11254553888458758,0.07151184918578019,0.005056651349445485,200,0.22065947241390912,0.23440109787928262,0.016785811268252727,195,0.2354086792957969,0.11873723975723657,0.008395990741171491,200,0.43578391394287,0.3016158980659742,0.021599163085180555,195,0.40100091341882943,0.18642784094244583,0.013182439053237053,200,0.7188472559117854,0.40929791251097,0.02931043230623961,195,0.39371360715288395,0.1978412850743833,0.014167708694084154,195,83.565,51.13216469436492,3.6155900392132803,200,83.57,51.137268220007854,3.615950912972288,200,0.43035587924278973,0.21275066983011584,0.015043744133885513,200,0.06280451336017814,0.16713638502223177,0.01181832712322258,200
bowphs/LaTa,bertscore,baseline,200,83.57,0.9330245551466941,0.9577823226153851,0.0829054743692507,0.005862302312398468,200,1.0351471264258953,0.13545338177840557,0.00957800047901609,200,0.9693778902292252,0.05271002137869076,0.003727161355336013,200,1.0473524033970443,0.11407340616038135,0.008066207904905294,200,0.9690364480018616,0.05280255963348665,0.0037337047980845472,200,1.0470150372310305,0.11498752824977906,0.008130846097729847,200,0.844258998222649,0.46871354954277616,0.03314305293157138,200,0.9162567252806468,0.5054573808234054,0.03574123415810211,200,1.2132745108287781,0.2301774594639053,0.01627600424632191,200,1.3010501385292672,0.21731301285297258,0.015366350502841627,200,1.1932977956533433,0.2173121784396371,0.015366291500908843,200,1.2799591818452085,0.20666132220448605,0.01461316223397701,200,0.020882595556528015,0.022739540327290704,0.001607928316649222,200,82.66,50.178018771561675,3.5481217339877134,200,83.57,51.137268220007854,3.615950912972288,200,0.20376660768801755,0.2863953730077393,0.02025121103542232,200,0.1738988408952065,0.27950806980313364,0.019764205155415868,200
bowphs/LaTa,dla,abtt,200,83.57,0.5622480198973789,0.1770617937715724,0.1600871483544736,0.011319870818226514,200,0.350377782299246,0.3598249094428874,0.025767596970194366,195,0.3007963700406253,0.17063582236991245,0.012065774711110828,200,0.6070732098052966,0.4222183267182791,0.030235682385500055,195,0.4392997398413718,0.19682649628620805,0.013917735024116652,200,0.8201668653841969,0.3525180188081918,0.02524433966354587,195,0.12284297334495932,0.08803969962442763,0.006225346861805952,200,0.23853112087116984,0.21246409879857625,0.015214870134904405,195,0.27220410477209955,0.1440955976639025,0.01018909742472739,200,0.5047966684938286,0.27657702372655174,0.019806092050814083,195,0.4442202532873489,0.22444743564185535,0.01587083037622871,200,0.7918934725321387,0.3640831502411209,0.026072535927480024,195,0.4711187810003292,0.22971710788010932,0.01645038377742673,195,83.565,51.13216469436492,3.6155900392132803,200,83.57,51.137268220007854,3.615950912972288,200,0.27826472756536247,0.24199154923665142,0.01711138654550745,200,0.13276008640047188,0.2272464935424914,0.016068753658476063,200
bowphs/LaTa,dla,baseline,200,83.57,0.9330245551466941,0.9449569875001907,0.07360413499584047,0.005204598297892887,200,1.0170692665227667,0.0775009145453261,0.005480142222315921,200,0.9361611315608025,0.0808598594143239,0.005717655491765932,200,1.0041076590899272,0.019248846592749936,0.001361098995575305,200,0.9356329843401909,0.08105215432442782,0.005731252795258146,200,1.0034915257290462,0.013750417869146119,0.0009723013719421897,200,0.8598437834181822,0.4691701703437128,0.033175340898048696,200,0.9365421702883446,0.5140941468874154,0.036351945743240445,200,1.1977131612598897,0.20904158713262935,0.014781472381148075,200,1.2892465133474382,0.22529184699379853,0.015930539275535702,200,1.1571782304532825,0.18982287675684448,0.0134225043379103,200,1.2481274143872576,0.21605442699323696,0.015277355043229171,200,0.020899833570545777,0.022637500796535277,0.0016007130322345964,200,82.66,50.178018771561675,3.5481217339877134,200,83.57,51.137268220007854,3.615950912972288,200,0.05390728376397471,0.2167137431827577,0.015323975738084791,200,0.31351659659985,0.30324035836475305,0.02144233137291557,200
bowphs/LaTa,ig,abtt,200,83.57,0.5622480198973789,0.22497925837291405,0.15181010442275,0.010734595428996442,200,0.42813424793938243,0.3072185221599846,0.022000375329917807,195,0.35152100715786216,0.17026096397665139,0.012039268219924867,200,0.6806383830420965,0.3351431701729284,0.024000100909356285,195,0.48948323529213666,0.19949630818453093,0.014106519233896315,200,0.9209614003002843,0.22966134903103025,0.016446390803308248,195,0.13820622670362354,0.09214911049421473,0.0065159260910767685,200,0.2669613655042065,0.23384557448491353,0.016746029411694268,195,0.307824294581078,0.15634843422139766,0.011055503806584915,200,0.5812572267881565,0.36794304881994105,0.0263489490059377,195,0.4796045170238358,0.22247820029821097,0.015731584409704395,200,0.884416105168876,0.44255626302637957,0.031692112255249795,195,0.37933869406870696,0.18688704670293302,0.013383259390927249,195,83.565,51.13216469436492,3.6155900392132803,200,83.57,51.137268220007854,3.615950912972288,200,0.39581753422611304,0.22986921147765418,0.016254207822185382,200,0.04647381744142161,0.13305445458725731,0.009408370710572718,200
bowphs/LaTa,ig,baseline,200,83.57,0.9330245551466941,0.8957532087829896,0.18284085534703576,0.01292880086938376,200,0.9669954719889566,0.19974073719471414,0.014123802974958242,200,0.9075842532888054,0.18573230994749312,0.013133257584931404,200,0.9758798261576098,0.18248108974850968,0.012903361599948216,200,0.9074258528649807,0.18714613431133095,0.013233230064439052,200,0.9747726806263409,0.17933634401249096,0.012680994496443585,200,0.2797351064160466,0.48334532236736955,0.034177675510076486,200,0.3203143115298438,0.5501604934979013,0.03890222156933035,200,0.6467371976748109,0.6624160817328286,0.04683989033603054,200,0.719426697725354,0.7346030014382009,0.051944276379694294,200,0.7792935721948743,0.6290482180122635,0.044480426064978526,200,0.8501666685116984,0.6772718063672075,0.04789034869887148,200,0.04089430062141214,0.09217031839807593,0.0065174257163402695,200,82.66,50.178018771561675,3.5481217339877134,200,83.57,51.137268220007854,3.615950912972288,200,-0.0012544827951036796,0.20325646757774277,0.014372402654424554,200,0.33867234866546936,0.31049650075218227,0.021955418121656203,200
