model,method,variant,n,n_q_mean,full_cos_mean,metric,metric_key,threshold,mean,std,se,metric_n
bowphs/LaTa,attention_weighted,baseline,200,83.57,0.933024555146694,sufficiency,suff@0.10_ratio,0.1,-0.5747221439260322,0.3650075450168648,0.0258099310265679,200
bowphs/LaTa,attention_weighted,baseline,200,83.57,0.933024555146694,sufficiency,suff@0.25_ratio,0.25,-0.377265571398698,0.5603027412166403,0.0396193867831697,200
bowphs/LaTa,attention_weighted,baseline,200,83.57,0.933024555146694,sufficiency,suff@0.50_ratio,0.5,-0.1314426010124937,0.6086307480666187,0.0430366929196547,200
bowphs/LaTa,attention_weighted,baseline,200,83.57,0.933024555146694,comprehensiveness,comp@0.10_ratio,0.1,0.0014722868285077,0.0466189985262144,0.0032964609990011,200
bowphs/LaTa,attention_weighted,baseline,200,83.57,0.933024555146694,comprehensiveness,comp@0.25_ratio,0.25,-0.0046968777914324,0.0617454283699367,0.004366061110765,200
bowphs/LaTa,attention_weighted,baseline,200,83.57,0.933024555146694,comprehensiveness,comp@0.50_ratio,0.5,-0.0189707540739402,0.1460310968309582,0.0103259578833279,200
bowphs/LaTa,attention_weighted,baseline,200,83.57,0.933024555146694,min_recovery_fraction,compactness@0.70,0.7,,,,0
bowphs/LaTa,attention_weighted,baseline,200,83.57,0.933024555146694,min_recovery_fraction,compactness@0.80,0.8,0.7560562909950056,0.2845465490125778,0.0201204794370024,200
bowphs/LaTa,attention_weighted,baseline,200,83.57,0.933024555146694,min_recovery_fraction,compactness@0.90,0.9,,,,0
bowphs/LaTa,attention_weighted,baseline,200,83.57,0.933024555146694,min_recovery_fraction,compactness@0.95,0.95,,,,0
bowphs/LaTa,bertscore,abtt,200,83.57,0.5622480198973789,rho_LOO,loo_rho,,0.4303558792427897,0.2127506698301158,0.0150437441338855,200
bowphs/LaTa,bertscore,abtt,200,83.57,0.5622480198973789,sufficiency,suff@0.10_ratio,0.1,0.3645638671327327,0.3657436171743886,0.0261914444343563,195
bowphs/LaTa,bertscore,abtt,200,83.57,0.5622480198973789,sufficiency,suff@0.25_ratio,0.25,0.6262151442419291,0.4639073750733687,0.0332210971466629,195
bowphs/LaTa,bertscore,abtt,200,83.57,0.5622480198973789,sufficiency,suff@0.50_ratio,0.5,0.9042049127440844,0.4379004227752867,0.0313587006097538,195
bowphs/LaTa,bertscore,abtt,200,83.57,0.5622480198973789,comprehensiveness,comp@0.10_ratio,0.1,0.2206594724139091,0.2344010978792826,0.0167858112682527,195
bowphs/LaTa,bertscore,abtt,200,83.57,0.5622480198973789,comprehensiveness,comp@0.25_ratio,0.25,0.43578391394287,0.3016158980659742,0.0215991630851805,195
bowphs/LaTa,bertscore,abtt,200,83.57,0.5622480198973789,comprehensiveness,comp@0.50_ratio,0.5,0.7188472559117854,0.40929791251097,0.0293104323062396,195
bowphs/LaTa,bertscore,abtt,200,83.57,0.5622480198973789,min_recovery_fraction,compactness@0.70,0.7,,,,0
bowphs/LaTa,bertscore,abtt,200,83.57,0.5622480198973789,min_recovery_fraction,compactness@0.80,0.8,0.3937136071528839,0.1978412850743833,0.0141677086940841,195
bowphs/LaTa,bertscore,abtt,200,83.57,0.5622480198973789,min_recovery_fraction,compactness@0.90,0.9,,,,0
bowphs/LaTa,bertscore,abtt,200,83.57,0.5622480198973789,min_recovery_fraction,compactness@0.95,0.95,,,,0
bowphs/LaTa,bertscore,baseline,200,83.57,0.933024555146694,rho_LOO,loo_rho,,0.2037666076880175,0.2863953730077393,0.0202512110354223,200
bowphs/LaTa,bertscore,baseline,200,83.57,0.933024555146694,sufficiency,suff@0.10_ratio,0.1,1.0351471264258951,0.1354533817784055,0.009578000479016,200
bowphs/LaTa,bertscore,baseline,200,83.57,0.933024555146694,sufficiency,suff@0.25_ratio,0.25,1.0473524033970445,0.1140734061603813,0.0080662079049052,200
bowphs/LaTa,bertscore,baseline,200,83.57,0.933024555146694,sufficiency,suff@0.50_ratio,0.5,1.0470150372310305,0.114987528249779,0.0081308460977298,200
bowphs/LaTa,bertscore,baseline,200,83.57,0.933024555146694,comprehensiveness,comp@0.10_ratio,0.1,0.9162567252806468,0.5054573808234054,0.0357412341581021,200
bowphs/LaTa,bertscore,baseline,200,83.57,0.933024555146694,comprehensiveness,comp@0.25_ratio,0.25,1.3010501385292672,0.2173130128529725,0.0153663505028416,200
bowphs/LaTa,bertscore,baseline,200,83.57,0.933024555146694,comprehensiveness,comp@0.50_ratio,0.5,1.2799591818452083,0.206661322204486,0.014613162233977,200
bowphs/LaTa,bertscore,baseline,200,83.57,0.933024555146694,min_recovery_fraction,compactness@0.70,0.7,,,,0
bowphs/LaTa,bertscore,baseline,200,83.57,0.933024555146694,min_recovery_fraction,compactness@0.80,0.8,0.020882595556528,0.0227395403272907,0.0016079283166492,200
bowphs/LaTa,bertscore,baseline,200,83.57,0.933024555146694,min_recovery_fraction,compactness@0.90,0.9,,,,0
bowphs/LaTa,bertscore,baseline,200,83.57,0.933024555146694,min_recovery_fraction,compactness@0.95,0.95,,,,0
bowphs/LaTa,dla,abtt,200,83.57,0.5622480198973789,rho_LOO,loo_rho,,0.2782647275653624,0.2419915492366514,0.0171113865455074,200
bowphs/LaTa,dla,abtt,200,83.57,0.5622480198973789,sufficiency,suff@0.10_ratio,0.1,0.350377782299246,0.3598249094428874,0.0257675969701943,195
bowphs/LaTa,dla,abtt,200,83.57,0.5622480198973789,sufficiency,suff@0.25_ratio,0.25,0.6070732098052966,0.4222183267182791,0.0302356823855,195
bowphs/LaTa,dla,abtt,200,83.57,0.5622480198973789,sufficiency,suff@0.50_ratio,0.5,0.8201668653841969,0.3525180188081918,0.0252443396635458,195
bowphs/LaTa,dla,abtt,200,83.57,0.5622480198973789,comprehensiveness,comp@0.10_ratio,0.1,0.2385311208711698,0.2124640987985762,0.0152148701349044,195
bowphs/LaTa,dla,abtt,200,83.57,0.5622480198973789,comprehensiveness,comp@0.25_ratio,0.25,0.5047966684938286,0.2765770237265517,0.019806092050814,195
bowphs/LaTa,dla,abtt,200,83.57,0.5622480198973789,comprehensiveness,comp@0.50_ratio,0.5,0.7918934725321387,0.3640831502411209,0.02607253592748,195
bowphs/LaTa,dla,abtt,200,83.57,0.5622480198973789,min_recovery_fraction,compactness@0.70,0.7,,,,0
bowphs/LaTa,dla,abtt,200,83.57,0.5622480198973789,min_recovery_fraction,compactness@0.80,0.8,0.4711187810003292,0.2297171078801093,0.0164503837774267,195
bowphs/LaTa,dla,abtt,200,83.57,0.5622480198973789,min_recovery_fraction,compactness@0.90,0.9,,,,0
