model,layer,dir_acc_at_1_mean__baseline,dir_acc_at_1_mean__sif_abtt_optimal,dir_acc_at_1_std__baseline,dir_acc_at_1_std__sif_abtt_optimal,existing_acc_mean__baseline,existing_acc_mean__sif_abtt_optimal,existing_acc_std__baseline,existing_acc_std__sif_abtt_optimal,new_acc_mean__baseline,new_acc_mean__sif_abtt_optimal,new_acc_std__baseline,new_acc_std__sif_abtt_optimal,model_display
bowphs/LaTa,1,0.7312707567057707,0.889142336129796,0.0099527697553032,0.0095654719080485,0.5628099173553719,0.8438016528925619,0.0067899490599813,0.0114664767979434,0.9486171864389684,0.9476110034525878,0.0109397329875679,0.0100793853161896,LaTa
bowphs/LaTa,2,0.4290796308530936,0.887759716469177,0.0110273263393275,0.0065831425157352,0.0487603305785123,0.8413223140495866,0.0061290896587567,0.0069145456738353,0.91992935161252,0.9476719554937376,0.0082462135704686,0.0072606903173381,LaTa
bowphs/LaTa,3,0.3933023355613199,0.8905405297586331,0.0114765000551379,0.0095449146632848,0.0471074380165289,0.8471074380165289,0.0062668392099599,0.0096909416525277,0.8401703694773002,0.9465528023943868,0.0200958423709475,0.0116861520067717,LaTa
bowphs/LaTa,4,0.3307391503959664,0.8887306908586595,0.0188923487708905,0.0093520219774707,0.0479338842975206,0.8603305785123967,0.0085687774187304,0.0094229373975135,0.6955623123939956,0.9254479231706956,0.0298478168711138,0.0127190922965528,LaTa
bowphs/LaTa,5,0.3260505776887602,0.8910548473175464,0.0207743832908188,0.0086699798760672,0.0380165289256198,0.8578512396694216,0.0045266327066542,0.0080552019378586,0.6975151084061976,0.934044859787434,0.0277655437944042,0.0135976248901833,LaTa
bowphs/LaTa,6,0.321933735028428,0.8906534746806634,0.0179219841327111,0.009464436062208,0.0380165289256198,0.8628099173553719,0.0067899490599813,0.0102891732214782,0.6880943069061881,0.9265361542589264,0.026233422787928,0.0129600227178852,LaTa
bowphs/LaTa,7,0.3279328534809483,0.8957242381894066,0.0197603502579011,0.0077971246069284,0.0446280991735537,0.8479338842975206,0.0073919602561976,0.0094229373975135,0.6933477781992633,0.9574207032622876,0.0284292494234207,0.0096617102326878,LaTa
bowphs/LaTa,8,0.3251004748541005,0.8840752627672529,0.0219074274623359,0.0079524738579413,0.0462809917355371,0.8338842975206612,0.0102891732214782,0.0079485058106079,0.6847295015611847,0.9489112287132088,0.0316999922531024,0.0106452810496874,LaTa
bowphs/LaTa,9,0.3316666788253016,0.8859731087802993,0.018870083298378,0.0105039336544491,0.0454545454545454,0.8479338842975206,0.0096909416525277,0.0094229373975135,0.7010181958696811,0.935115270857845,0.0237785737742206,0.0151638819545867,LaTa
bowphs/LaTa,10,0.3461171825140886,0.88874018256695,0.0172385111014031,0.0043522864440652,0.0446280991735537,0.8462809917355372,0.0098655672614159,0.007948505810608,0.7353555503060453,0.9436125353947136,0.0212326413801238,0.0115923543065549,LaTa
bowphs/LaTa,11,0.3605861200554923,0.8818125681720769,0.018126078245765,0.0093050930503224,0.0454545454545454,0.8619834710743802,0.0087657865436348,0.0099517310568531,0.7674737625232675,0.9074617550855176,0.0289744942234508,0.0137947260664287,LaTa
bowphs/LaTa,12,0.7074951533558793,0.8891841746495388,0.0142831427151569,0.0050898838189571,0.5107438016528925,0.8338842975206612,0.0161633117484363,0.0045266327066542,0.9614546153160016,0.9606482164898008,0.0079446199779666,0.0101239134640067,LaTa
bowphs/PhilTa,1,0.705172029810698,0.8984574282754142,0.0149515707629121,0.0076999731076096,0.5305785123966942,0.8578512396694216,0.0158970116212159,0.010371818510753,0.9307220004249708,0.9507688746302608,0.0120551150787142,0.0108115773721166,PhilTa
bowphs/PhilTa,2,0.6264272369916546,0.8882306623665164,0.0194354803853748,0.0102256829324263,0.4099173553719009,0.8661157024793388,0.0171375548374609,0.0099517310568531,0.905870921514486,0.9167477944705666,0.0181926709757828,0.0166966164005797,PhilTa
bowphs/PhilTa,3,0.4402065910355033,0.8933756897381672,0.0127857350767332,0.0086460533839616,0.0710743801652892,0.8578512396694216,0.0138290913476706,0.0095131111018358,0.9171382327817972,0.9393542231165992,0.0127659864268568,0.0107492181213337,PhilTa
bowphs/PhilTa,4,0.420611890722646,0.8914604427862096,0.0161352521502114,0.0090012565017763,0.0272727272727272,0.8578512396694216,0.0069145456738353,0.0080552019378586,0.9283879941305684,0.9348036046055848,0.0153604902314653,0.013133565604107,PhilTa
bowphs/PhilTa,5,0.3745412397803291,0.8947154417126976,0.016056614090386,0.0103726508916204,0.0421487603305785,0.8520661157024794,0.0128697615722292,0.0098655672614159,0.8038512770195938,0.9497529136142996,0.0182757788187201,0.0141532204786085,PhilTa
bowphs/PhilTa,6,0.3373244906140346,0.8970865645692617,0.0153551464249826,0.0089039940682298,0.0595041322314049,0.8611570247933884,0.0119048432156098,0.0099517310568531,0.6961129228455961,0.9435215533235336,0.0257873282292759,0.0132475620925664,PhilTa
bowphs/PhilTa,7,0.3610363678540387,0.899859968856223,0.0166220907861016,0.0090775158283399,0.056198347107438,0.859504132231405,0.0119048432156098,0.0077306970801114,0.7545874935973946,0.951904405765792,0.0204838435007102,0.0133985521326052,PhilTa
bowphs/PhilTa,8,0.3894377228474036,0.8905628103350958,0.0158865025631032,0.0102260491975088,0.0578512396694214,0.8586776859504133,0.0140130784775315,0.0094229373975135,0.8176772649049877,0.9316904054527816,0.0178631116953983,0.0152714108669052,PhilTa
bowphs/PhilTa,9,0.3713083973101122,0.8929797425554401,0.015711920930632,0.0084197990611839,0.0661157024793388,0.8611570247933885,0.0140130784775315,0.0085687774187304,0.7655163465064455,0.9343249560081242,0.0265152162161855,0.0157509028545081,PhilTa
bowphs/PhilTa,10,0.3769186968845634,0.8920663334842045,0.0137702153307223,0.0086758729052433,0.0661157024793388,0.8553719008264464,0.0140130784775315,0.0050609292206264,0.7784458454755484,0.9397157194186898,0.0229452435257734,0.0168459083585098,PhilTa
bowphs/PhilTa,11,0.3941338653678894,0.887889061873867,0.0140273643741271,0.0078173065224704,0.0586776859504132,0.8512396694214874,0.0102891732214782,0.0101218584412528,0.8274798147075375,0.9353709470541152,0.0212941097287545,0.0131014582773282,PhilTa
bowphs/PhilTa,12,0.5664168988083642,0.8966639442696216,0.0128052476140971,0.009704786674446,0.2818181818181818,0.8628099173553719,0.0135168820114017,0.0102891732214783,0.9337808475432235,0.9405985563411304,0.0068907768040398,0.0181136578145677,PhilTa
google/mt5-base,1,0.4872790055599679,0.898955349099027,0.011704008796008,0.0046691806376176,0.1,0.8561983471074379,0.0089584642101978,0.0073919602561976,0.9872702851910772,0.9541453399869242,0.0068663575170283,0.0109072346767352,mT5-base
google/mt5-base,2,0.4761097653491936,0.8928686283514626,0.0117678681534995,0.0048532679281254,0.0826446280991735,0.8512396694214877,0.0077306970801114,0.0116877153915132,0.9841230840240742,0.9468054966074768,0.007973570557552,0.0129322841874036,mT5-base
google/mt5-base,3,0.4830603171263009,0.8834497524726498,0.0135724608348965,0.0105279864467555,0.1239669421487603,0.8165289256198347,0.0087657865436348,0.014492295798967,0.9466263184084968,0.96999674791754,0.0078534429710999,0.0065798504738473,mT5-base
google/mt5-base,4,0.499844423393786,0.8523350460343948,0.0151293696851894,0.0070091380798255,0.2057851239669421,0.771900826446281,0.0061290896587567,0.0102891732214782,0.8794418409269895,0.9562170700784562,0.0201688891251387,0.0103962252000038,mT5-base
google/mt5-base,5,0.3713386981063625,0.8252952327475626,0.0139751352048872,0.0078687851614482,0.1545454545454545,0.7239669421487605,0.0062668392099599,0.0067899490599813,0.650949993623261,0.956135669997056,0.022618408249286,0.0055265853203727,mT5-base
google/mt5-base,6,0.3612249687822318,0.8100679545076723,0.0123107049631248,0.0054317602920599,0.2628099173553719,0.7652892561983471,0.0209891323953723,0.0121883315733492,0.4882168241574183,0.868112855538598,0.0181237512260378,0.0163260664493591,mT5-base
google/mt5-base,7,0.3700336850570119,0.8268237303962215,0.0104792772460786,0.0082109535805746,0.2545454545454545,0.7595041322314049,0.0141946810225765,0.0106960157897064,0.518995199094209,0.9139166835206438,0.0169974110598347,0.0130666412085179,mT5-base
google/mt5-base,8,0.3821732141414026,0.8244165837130295,0.0075946217585683,0.0116446463508674,0.243801652892562,0.7727272727272728,0.0071572347420201,0.0116877153915131,0.5606795469171707,0.8913817908867413,0.0173794270823595,0.0163894860138061,mT5-base
