model,layer,aucroc__abtt_optimal,aucroc__baseline,gap__abtt_optimal,gap__baseline,model_display
bowphs/LaTa,1,0.9692672913963956,0.9326224358287252,0.5650471019325778,0.286248505115509,LaTa
bowphs/LaTa,2,0.969013286705634,0.5645577593099911,0.5534266426111571,0.0204535722732543,LaTa
bowphs/LaTa,3,0.9721150290126566,0.5148019356819986,0.5550300309550948,-0.0463918298482894,LaTa
bowphs/LaTa,4,0.9704689905210868,0.5018671676506967,0.5643124566995539,-0.0650308281183242,LaTa
bowphs/LaTa,5,0.9712460069164074,0.4981521959458609,0.5718438005424105,-0.0675935745239257,LaTa
bowphs/LaTa,6,0.9629303747064268,0.4973279610380078,0.5687836636789143,-0.0674287378787994,LaTa
bowphs/LaTa,7,0.9613060945054316,0.4991755476008165,0.5639965541777201,-0.0702220648527145,LaTa
bowphs/LaTa,8,0.9639321306169596,0.5035157542249066,0.5581466378062032,-0.0726764649152755,LaTa
bowphs/LaTa,9,0.964445684882718,0.5041775345558239,0.5567558242473751,-0.0708053410053253,LaTa
bowphs/LaTa,10,0.9698096850125716,0.5065003465438178,0.5513300243183039,-0.0701155811548233,LaTa
bowphs/LaTa,11,0.9725217400899846,0.5098047335362611,0.5495054445345886,-0.0651606768369674,LaTa
bowphs/LaTa,12,0.9708576727118114,0.9384694842035132,0.5250298189930618,0.2379014492034912,LaTa
bowphs/PhilTa,1,0.9756919715616578,0.9388356113985789,0.5732967872172594,0.2312784790992736,PhilTa
bowphs/PhilTa,2,0.971334097773388,0.910968117556674,0.5514826301950961,0.1606694459915161,PhilTa
bowphs/PhilTa,3,0.9719870662713482,0.6013418024610037,0.5486713038990274,0.0850924849510192,PhilTa
bowphs/PhilTa,4,0.9763818380361752,0.5510390224776602,0.5506650783936493,0.063859224319458,PhilTa
bowphs/PhilTa,5,0.9777192311466268,0.5428718292454044,0.5507637876435183,0.0535610914230346,PhilTa
bowphs/PhilTa,6,0.9797651789603374,0.5412272994568531,0.5509630139567889,0.0475054383277893,PhilTa
bowphs/PhilTa,7,0.9788595038514508,0.5422760060221747,0.5541026460705325,0.0472077131271362,PhilTa
bowphs/PhilTa,8,0.9831496096305344,0.5427630606863542,0.5552185631240718,0.0466698408126831,PhilTa
bowphs/PhilTa,9,0.982190848321958,0.5394841362052506,0.5398827760946006,0.0416435003280639,PhilTa
bowphs/PhilTa,10,0.981841880048174,0.5387931273289028,0.5303697300259955,0.0402409434318542,PhilTa
bowphs/PhilTa,11,0.9816710005439117,0.5398170238568759,0.5112241896567866,0.0413322448730468,PhilTa
bowphs/PhilTa,12,0.9813240171646904,0.9111287909940824,0.4872982945526019,0.1811067461967468,PhilTa
google/mt5-base,1,0.978760323226,0.8229049621036237,0.5495752936694771,0.026993453502655,mT5-base
google/mt5-base,2,0.9734159476823002,0.8233860300327598,0.5353589705773629,0.0258031487464904,mT5-base
google/mt5-base,3,0.9680413568693446,0.8052750667801406,0.5171881401911378,0.0246539711952209,mT5-base
google/mt5-base,4,0.9745928138758186,0.7998931751266292,0.5026256255223416,0.0398806929588317,mT5-base
google/mt5-base,5,0.9770890809233042,0.653878380954243,0.4821963681606576,0.2182098627090454,mT5-base
google/mt5-base,6,0.9728791035291242,0.6566694929855841,0.4824761679628864,0.2376653254032135,mT5-base
google/mt5-base,7,0.979461103186541,0.6566460932078099,0.4818859715014696,0.2433244287967682,mT5-base
google/mt5-base,8,0.98031038164875,0.656436491089197,0.4706026636413298,0.2483421862125396,mT5-base
google/mt5-base,9,0.980942132150388,0.659818087503951,0.4751033917418681,0.2345550954341888,mT5-base
google/mt5-base,10,0.9754500822826936,0.6590457620532207,0.4587072356953285,0.2251442074775695,mT5-base
google/mt5-base,11,0.9709903263977104,0.6596937259611985,0.4490340985357761,0.2127642333507537,mT5-base
google/mt5-base,12,0.9703559660001068,0.8388831572927979,0.4414393126498908,0.0818662643432617,mT5-base
