model,language,layer,method,D,D_source,sif_a,spearman_train,spearman_test,n_train_pairs,n_test_pairs
Qwen/Qwen3-Embedding-0.6B,english,13,whitening,0,none,0.001,0.6300974466927372,0.6535427292168687,3564,3564
Qwen/Qwen3-Embedding-0.6B,english,14,baseline_mean,0,none,0.001,0.17635639393441288,0.18719774000456382,3564,3564
Qwen/Qwen3-Embedding-0.6B,english,14,sif_abtt_optimal,10,train_sweep,0.001,0.6712747154669457,0.6965094640678745,3564,3564
Qwen/Qwen3-Embedding-0.6B,english,14,whitening,0,none,0.001,0.6252808221228269,0.6509262053761217,3564,3564
Qwen/Qwen3-Embedding-0.6B,english,15,baseline_mean,0,none,0.001,0.17635128533400335,0.18554911403224908,3564,3564
Qwen/Qwen3-Embedding-0.6B,english,15,sif_abtt_optimal,10,train_sweep,0.001,0.6746739899141476,0.6986255398496678,3564,3564
Qwen/Qwen3-Embedding-0.6B,english,15,whitening,0,none,0.001,0.6204419015033953,0.6464458340280215,3564,3564
Qwen/Qwen3-Embedding-0.6B,english,16,baseline_mean,0,none,0.001,0.17113692430723354,0.1817595534203278,3564,3564
Qwen/Qwen3-Embedding-0.6B,english,16,sif_abtt_optimal,10,train_sweep,0.001,0.6713738835229005,0.6983303724374464,3564,3564
Qwen/Qwen3-Embedding-0.6B,english,16,whitening,0,none,0.001,0.6190627610807623,0.6452457834374348,3564,3564
Qwen/Qwen3-Embedding-0.6B,english,17,baseline_mean,0,none,0.001,0.19527866625965287,0.20762310270233914,3564,3564
Qwen/Qwen3-Embedding-0.6B,english,17,sif_abtt_optimal,10,train_sweep,0.001,0.6853664253356345,0.7087228404123835,3564,3564
Qwen/Qwen3-Embedding-0.6B,english,17,whitening,0,none,0.001,0.6213113556504596,0.6463840139006205,3564,3564
Qwen/Qwen3-Embedding-0.6B,english,18,baseline_mean,0,none,0.001,0.22174360370835453,0.23433929383344695,3564,3564
Qwen/Qwen3-Embedding-0.6B,english,18,sif_abtt_optimal,10,train_sweep,0.001,0.6879614035868218,0.711994073673103,3564,3564
Qwen/Qwen3-Embedding-0.6B,english,18,whitening,0,none,0.001,0.6317785496821786,0.656749955853739,3564,3564
Qwen/Qwen3-Embedding-0.6B,english,19,baseline_mean,0,none,0.001,0.25059005717527505,0.2644556754490043,3564,3564
Qwen/Qwen3-Embedding-0.6B,english,19,sif_abtt_optimal,10,train_sweep,0.001,0.6967039362004047,0.7200855169473314,3564,3564
Qwen/Qwen3-Embedding-0.6B,english,19,whitening,0,none,0.001,0.6445748452251133,0.6679556368585284,3564,3564
Qwen/Qwen3-Embedding-0.6B,english,20,baseline_mean,0,none,0.001,0.2857731652442315,0.3005041239010629,3564,3564
Qwen/Qwen3-Embedding-0.6B,english,20,sif_abtt_optimal,10,train_sweep,0.001,0.7073029394979254,0.7285276078281271,3564,3564
Qwen/Qwen3-Embedding-0.6B,english,20,whitening,0,none,0.001,0.6630430157895915,0.6863449299983835,3564,3564
Qwen/Qwen3-Embedding-0.6B,english,21,baseline_mean,0,none,0.001,0.38192695308000946,0.39517737840961914,3564,3564
Qwen/Qwen3-Embedding-0.6B,english,21,sif_abtt_optimal,10,train_sweep,0.001,0.7216473036455769,0.7359857747150754,3564,3564
Qwen/Qwen3-Embedding-0.6B,english,21,whitening,0,none,0.001,0.6915714541711857,0.7083663146151635,3564,3564
Qwen/Qwen3-Embedding-0.6B,english,22,baseline_mean,0,none,0.001,0.4650698010966584,0.48394172117605494,3564,3564
Qwen/Qwen3-Embedding-0.6B,english,22,sif_abtt_optimal,7,train_sweep,0.001,0.7220253322641593,0.7382711383875151,3564,3564
Qwen/Qwen3-Embedding-0.6B,english,22,whitening,0,none,0.001,0.7067821993131896,0.7191026196716954,3564,3564
Qwen/Qwen3-Embedding-0.6B,english,23,baseline_mean,0,none,0.001,0.5372384673042813,0.5580223711709905,3564,3564
Qwen/Qwen3-Embedding-0.6B,english,23,sif_abtt_optimal,7,train_sweep,0.001,0.7268749144997245,0.7393119081721276,3564,3564
Qwen/Qwen3-Embedding-0.6B,english,23,whitening,0,none,0.001,0.71466669885466,0.7272951550253423,3564,3564
Qwen/Qwen3-Embedding-0.6B,english,24,baseline_mean,0,none,0.001,0.556914554453041,0.5768785369348933,3564,3564
Qwen/Qwen3-Embedding-0.6B,english,24,sif_abtt_optimal,7,train_sweep,0.001,0.727749197731297,0.7387396904525885,3564,3564
Qwen/Qwen3-Embedding-0.6B,english,24,whitening,0,none,0.001,0.7173341909407748,0.729892573242039,3564,3564
Qwen/Qwen3-Embedding-0.6B,english,25,baseline_mean,0,none,0.001,0.5737152456099947,0.5916010386406018,3564,3564
Qwen/Qwen3-Embedding-0.6B,english,25,sif_abtt_optimal,7,train_sweep,0.001,0.7273794319942462,0.7406354732161582,3564,3564
