model,repr,layer,method,D,D_source,sif_a,spearman_test,auc_roc_test,acc_at_1_test,acc_at_3_test,acc_at_5_test,spearman_train,n_train_files,n_test_files,n_pos_test_pairs,n_neg_test_pairs
bowphs/PhilTa,hidden,12,whitening,0,none,0.001,0.0111043285730409,0.5736762511025371,0.2571428571428571,0.275,0.2875,nan,578,700,464,244186
bowphs/PhilTa,ff1,0,baseline_mean,0,none,0.001,0.03595286592201003,0.7385441341069287,0.4714285714285714,0.5446428571428571,0.5696428571428571,nan,578,700,464,244186
bowphs/PhilTa,ff1,0,sif_abtt_optimal,2,train_sweep,0.001,0.07213321410639742,0.9785975932139915,0.8875,0.9142857142857143,0.9321428571428572,0.06474290272065207,578,700,464,244186
bowphs/PhilTa,ff1,0,whitening,0,none,0.001,0.008971605462871865,0.5595258195279065,0.31607142857142856,0.3339285714285714,0.3392857142857143,nan,578,700,464,244186
bowphs/PhilTa,ff1,1,baseline_mean,0,none,0.001,0.02973426827064391,0.6972842802914229,0.5053571428571428,0.5714285714285714,0.5964285714285714,nan,578,700,464,244186
bowphs/PhilTa,ff1,1,sif_abtt_optimal,2,train_sweep,0.001,0.07185904683267498,0.9767785172312118,0.8892857142857142,0.9285714285714286,0.9321428571428572,0.0653253188246248,578,700,464,244186
bowphs/PhilTa,ff1,1,whitening,0,none,0.001,0.009813682075025826,0.5651129256824292,0.33214285714285713,0.3517857142857143,0.35535714285714287,nan,578,700,464,244186
bowphs/PhilTa,ff1,2,baseline_mean,0,none,0.001,0.004117151601011608,0.5273169422927182,0.03214285714285714,0.04107142857142857,0.05178571428571429,nan,578,700,464,244186
bowphs/PhilTa,ff1,2,sif_abtt_optimal,3,train_sweep,0.001,0.07150123084179727,0.9744044392954269,0.8785714285714286,0.9375,0.9428571428571428,0.06500701697984462,578,700,464,244186
bowphs/PhilTa,ff1,2,whitening,0,none,0.001,0.011581367331614828,0.5768413632612448,0.30714285714285716,0.3410714285714286,0.35,nan,578,700,464,244186
bowphs/PhilTa,ff1,3,baseline_mean,0,none,0.001,-0.004495007474813919,0.47017601689723804,0.03571428571428571,0.04642857142857143,0.05357142857142857,nan,578,700,464,244186
bowphs/PhilTa,ff1,3,sif_abtt_optimal,7,train_sweep,0.001,0.07262358264556158,0.9818511457631083,0.9178571428571428,0.9392857142857143,0.95,0.06537458400475187,578,700,464,244186
bowphs/PhilTa,ff1,3,whitening,0,none,0.001,0.013279653872398562,0.5881093468319938,0.325,0.3392857142857143,0.3517857142857143,nan,578,700,464,244186
bowphs/PhilTa,ff1,4,baseline_mean,0,none,0.001,-0.001792891057172669,0.4881043239862095,0.0375,0.05,0.05357142857142857,nan,578,700,464,244186
bowphs/PhilTa,ff1,4,sif_abtt_optimal,7,train_sweep,0.001,0.07266181538897538,0.9821048166858106,0.9178571428571428,0.9464285714285714,0.9571428571428572,0.0659797393442442,578,700,464,244186
bowphs/PhilTa,ff1,4,whitening,0,none,0.001,0.017893571269669527,0.6187222856474304,0.3375,0.36964285714285716,0.3875,nan,578,700,464,244186
bowphs/PhilTa,ff1,5,baseline_mean,0,none,0.001,3.872027191691927e-05,0.5002569056318572,0.05892857142857143,0.08035714285714286,0.09464285714285714,nan,578,700,464,244186
bowphs/PhilTa,ff1,5,sif_abtt_optimal,3,train_sweep,0.001,0.0718938342859877,0.9770093289541577,0.9107142857142857,0.9410714285714286,0.9464285714285714,0.06518746300016164,578,700,464,244186
bowphs/PhilTa,ff1,5,whitening,0,none,0.001,0.01390512172087527,0.5922592712677758,0.3267857142857143,0.3625,0.3767857142857143,nan,578,700,464,244186
bowphs/PhilTa,ff1,6,baseline_mean,0,none,0.001,0.027416309015653353,0.6819048225179958,0.4017857142857143,0.4589285714285714,0.49107142857142855,nan,578,700,464,244186
bowphs/PhilTa,ff1,6,sif_abtt_optimal,2,train_sweep,0.001,0.07237031790697569,0.9801707562804725,0.925,0.9517857142857142,0.9517857142857142,0.06527418717970268,578,700,464,244186
bowphs/PhilTa,ff1,6,whitening,0,none,0.001,0.011921914062253389,0.5791008539420346,0.3267857142857143,0.3482142857142857,0.35892857142857143,nan,578,700,464,244186
bowphs/PhilTa,ff1,7,baseline_mean,0,none,0.001,0.02942112598595641,0.6952066085081554,0.4375,0.4982142857142857,0.5339285714285714,nan,578,700,464,244186
bowphs/PhilTa,ff1,7,sif_abtt_optimal,2,train_sweep,0.001,0.07212344092246957,0.9785327489898177,0.9053571428571429,0.9428571428571428,0.9553571428571429,0.06568809314755664,578,700,464,244186
bowphs/PhilTa,ff1,7,whitening,0,none,0.001,0.010934815889957808,0.5725515387577644,0.3125,0.34464285714285714,0.35714285714285715,nan,578,700,464,244186
bowphs/PhilTa,ff1,8,baseline_mean,0,none,0.001,0.001169445859924175,0.5077591714286763,0.10892857142857143,0.12857142857142856,0.14821428571428572,nan,578,700,464,244186
bowphs/PhilTa,ff1,8,sif_abtt_optimal,2,train_sweep,0.001,0.07212216922465628,0.9785243113855832,0.8946428571428572,0.9303571428571429,0.9375,0.06562700280571962,578,700,464,244186
bowphs/PhilTa,ff1,8,whitening,0,none,0.001,0.008436498760388073,0.5559754283549256,0.3464285714285714,0.3625,0.36964285714285716,nan,578,700,464,244186
bowphs/PhilTa,ff1,9,baseline_mean,0,none,0.001,0.01207332943633992,0.5801054892934923,0.18928571428571428,0.25357142857142856,0.2767857142857143,nan,578,700,464,244186
bowphs/PhilTa,ff1,9,sif_abtt_optimal,3,train_sweep,0.001,0.07212246719569133,0.978526288397454,0.8910714285714286,0.9357142857142857,0.9428571428571428,0.06598829344731179,578,700,464,244186
bowphs/PhilTa,ff1,9,whitening,0,none,0.001,0.015928109900611196,0.6056815667225973,0.3339285714285714,0.35535714285714287,0.3732142857142857,nan,578,700,464,244186
bowphs/PhilTa,ff1,10,baseline_mean,0,none,0.001,0.03922463312247909,0.7602520245307633,0.3982142857142857,0.4607142857142857,0.5017857142857143,nan,578,700,464,244186
bowphs/PhilTa,ff1,10,sif_abtt_optimal,7,train_sweep,0.001,0.07264493945350503,0.9819928463237605,0.8946428571428572,0.9303571428571429,0.9357142857142857,0.06556597257037497,578,700,464,244186
bowphs/PhilTa,ff1,10,whitening,0,none,0.001,0.015668111107318385,0.603956451759357,0.3125,0.3410714285714286,0.35714285714285715,nan,578,700,464,244186
bowphs/PhilTa,ff1,11,baseline_mean,0,none,0.001,0.026460519695282955,0.6755632436212418,0.225,0.2892857142857143,0.32142857142857145,nan,578,700,464,244186
bowphs/PhilTa,ff1,11,sif_abtt_optimal,3,train_sweep,0.001,0.0723339481476493,0.9799294460949355,0.875,0.9232142857142858,0.9303571428571429,0.06484206578083622,578,700,464,244186
bowphs/PhilTa,ff1,11,whitening,0,none,0.001,0.015945010867328167,0.6057936385830247,0.3267857142857143,0.3392857142857143,0.3517857142857143,nan,578,700,464,244186
