compare_label,k,total_queries,baseline_hits,compare_hits,recovered,regressed,unchanged,net_gain,baseline_hit_rate,compare_hit_rate,recovered_rate,regressed_rate,net_gain_rate
variance_drop_lowest_percent25,1,999,872,872,5,5,989,0,0.8728728728728729,0.8728728728728729,0.005005005005005005,0.005005005005005005,0.0
variance_drop_lowest_percent25,3,999,927,929,7,5,987,2,0.9279279279279279,0.92992992992993,0.007007007007007007,0.005005005005005005,0.002002002002002002
variance_drop_lowest_percent25,5,999,946,944,3,5,991,-2,0.9469469469469469,0.944944944944945,0.003003003003003003,0.005005005005005005,-0.002002002002002002
variance_drop_lowest_percent50,1,999,872,873,12,11,976,1,0.8728728728728729,0.8738738738738738,0.012012012012012012,0.011011011011011011,0.001001001001001001
variance_drop_lowest_percent50,3,999,927,922,9,14,976,-5,0.9279279279279279,0.9229229229229229,0.009009009009009009,0.014014014014014014,-0.005005005005005005
variance_drop_lowest_percent50,5,999,946,939,3,10,986,-7,0.9469469469469469,0.93993993993994,0.003003003003003003,0.01001001001001001,-0.007007007007007007
