compare_label,total_queries,baseline_hits@1,compare_hits@1,baseline_hit_rate@1,compare_hit_rate@1,recovered@1,regressed@1,net_gain@1,recovered_rate@1,regressed_rate@1,net_gain_rate@1,baseline_hits@3,compare_hits@3,baseline_hit_rate@3,compare_hit_rate@3,recovered@3,regressed@3,net_gain@3,recovered_rate@3,regressed_rate@3,net_gain_rate@3,baseline_hits@5,compare_hits@5,baseline_hit_rate@5,compare_hit_rate@5,recovered@5,regressed@5,net_gain@5,recovered_rate@5,regressed_rate@5,net_gain_rate@5
variance_drop_lowest_percent25,999,872,872,0.8728728728728729,0.8728728728728729,5,5,0,0.005005005005005005,0.005005005005005005,0.0,927,929,0.9279279279279279,0.92992992992993,7,5,2,0.007007007007007007,0.005005005005005005,0.002002002002002002,946,944,0.9469469469469469,0.944944944944945,3,5,-2,0.003003003003003003,0.005005005005005005,-0.002002002002002002
variance_drop_lowest_percent50,999,872,873,0.8728728728728729,0.8738738738738738,12,11,1,0.012012012012012012,0.011011011011011011,0.001001001001001001,927,922,0.9279279279279279,0.9229229229229229,9,14,-5,0.009009009009009009,0.014014014014014014,-0.005005005005005005,946,939,0.9469469469469469,0.93993993993994,3,10,-7,0.003003003003003003,0.01001001001001001,-0.007007007007007007
