model,method,variant,n,n_q_mean,full_cos_mean,del_auc_mean,del_auc_std,del_auc_se,del_auc_n,del_auc_random_mean,del_auc_random_std,del_auc_random_se,del_auc_random_n,del_auc_gap_mean,del_auc_gap_std,del_auc_gap_se,del_auc_gap_n,ins_auc_mean,ins_auc_std,ins_auc_se,ins_auc_n,ins_auc_random_mean,ins_auc_random_std,ins_auc_random_se,ins_auc_random_n,ins_auc_gap_mean,ins_auc_gap_std,ins_auc_gap_se,ins_auc_gap_n,full_cos_drift_mean,full_cos_drift_std,full_cos_drift_se,full_cos_drift_n
bowphs/LaTa,ig,abtt,20,77.85,0.5297413027255529,0.6243108662277586,0.09552540063957052,0.021915029891006497,19,0.7990515515800416,0.05602882487315802,0.012853893976180732,19,0.17474068535228304,0.09939129483374634,0.02280192684462929,19,0.873724790526775,0.09923533868058067,0.022766148049299155,19,0.7965455522635692,0.04867795683488813,0.011167489190595388,19,0.07717923826320598,0.09033957186872019,0.020725319177814797,19,,,,0
bowphs/LaTa,ig,baseline,20,77.85,-0.0016325547099425852,-0.8206369785973319,1.5286732579607762,0.3418217320186367,20,0.28179628568603754,1.0857862296336769,0.24278918184940979,20,1.1024332642833694,1.1939179921052707,0.26696817899074426,20,1.0850838630104633,0.4254723978676646,0.09513852041819346,20,0.5051538981851388,0.4020918078101926,0.08991046154593715,20,0.5799299648253247,0.6792856739235289,0.1518928943034767,20,,,,0
