model,repr,pooling,layer,method,D,sif_a,tau,aucroc,spearman,same_avg,diff_avg,gap,dir_acc_at_1,dir_acc_at_3,existing_acc,new_acc,overall_assignment_acc,train_aucroc,train_dir_acc_at_1,n_train,n_test,n_existing,n_new
bowphs/LaTa,hidden,mean,1,baseline,10,0.001,0.8442211055276382,0.9338288794749121,0.06045898519604209,0.7876718640327454,0.5012596249580383,0.28641223907470703,0.7214452214452215,0.9254079254079254,0.6299065420560748,0.9164086687306502,0.7377622377622378,0.9411146796930021,0.731995277449823,847,858,535,323
bowphs/LaTa,hidden,mean,1,abtt_fixed,10,0.001,0.4371859296482412,0.9695278112082257,0.0654340370823489,0.5662446618080139,0.0006004988099448383,0.5656441629980691,0.87995337995338,0.9696969696969697,0.9102803738317757,0.9071207430340558,0.9090909090909091,0.98206998541484,0.8536009445100354,847,858,535,323
bowphs/LaTa,hidden,mean,1,abtt_optimal,10,0.001,0.4371859296482412,0.9695278112082257,0.0654340370823489,0.5662446618080139,0.0006004988099448383,0.5656441629980691,0.87995337995338,0.9696969696969697,0.9102803738317757,0.9071207430340558,0.9090909090909091,0.98206998541484,0.8536009445100354,847,858,535,323
bowphs/LaTa,hidden,mean,1,whitening,10,0.001,0.06532663316582915,0.8476335981539214,0.04844669305986268,0.33069801330566406,0.000963366765063256,0.3297346465406008,0.40093240093240096,0.43123543123543123,1.0,0.0030959752321981426,0.6247086247086248,0.8408023812235682,0.6552538370720189,847,858,535,323
bowphs/LaTa,hidden,mean,2,baseline,10,0.001,0.9798994974874372,0.5634379692285965,0.008840802039503827,0.3220459222793579,0.30262526869773865,0.019420653581619263,0.38344988344988346,0.5944055944055944,0.15327102803738318,0.913312693498452,0.4393939393939394,0.5769025153389593,0.3955135773317591,847,858,535,323
bowphs/LaTa,hidden,mean,2,abtt_fixed,10,0.001,0.4623115577889447,0.9694044693568705,0.06541684799347547,0.554649293422699,0.0009021583246067166,0.5537471350980923,0.8694638694638694,0.9638694638694638,0.9046728971962616,0.891640866873065,0.8997668997668997,0.9787609382516034,0.8394332939787486,847,858,535,323
bowphs/LaTa,hidden,mean,2,abtt_optimal,10,0.001,0.4623115577889447,0.9694044693568705,0.06541684799347547,0.554649293422699,0.0009021583246067166,0.5537471350980923,0.8694638694638694,0.9638694638694638,0.9046728971962616,0.891640866873065,0.8997668997668997,0.9787609382516034,0.8394332939787486,847,858,535,323
bowphs/LaTa,hidden,mean,2,whitening,10,0.001,0.05527638190954774,0.8647452447494897,0.05083139550164784,0.3303505778312683,0.00024195396690629423,0.330108623864362,0.4114219114219114,0.45104895104895104,1.0,0.0030959752321981426,0.6247086247086248,0.8444892185692967,0.6717827626918536,847,858,535,323
bowphs/LaTa,hidden,mean,3,baseline,10,0.001,0.9949748743718593,0.5134397889814417,0.0018729873494138238,0.2197176069021225,0.26740285754203796,-0.047685250639915466,0.34965034965034963,0.5198135198135199,0.2560747663551402,0.8421052631578947,0.4766899766899767,0.5293383404860553,0.3435655253837072,847,858,535,323
bowphs/LaTa,hidden,mean,3,abtt_fixed,10,0.001,0.49748743718592964,0.9725634821305755,0.06585709232840907,0.5563111901283264,0.0008964236476458609,0.5554147664806806,0.8822843822843823,0.9638694638694638,0.8822429906542056,0.9504643962848297,0.9079254079254079,0.9790469267309203,0.8441558441558441,847,858,535,323
