file_id,folder_id,filename,path,query_mask,baseline_hit@1,baseline_hit@3,baseline_hit@5,baseline_best_same,baseline_best_diff,baseline_margin,variance_drop_lowest_percent25_hit@1,variance_drop_lowest_percent25_hit@3,variance_drop_lowest_percent25_hit@5,variance_drop_lowest_percent25_best_same,variance_drop_lowest_percent25_best_diff,variance_drop_lowest_percent25_margin,variance_drop_lowest_percent25_margin_delta,variance_drop_lowest_percent50_hit@1,variance_drop_lowest_percent50_hit@3,variance_drop_lowest_percent50_hit@5,variance_drop_lowest_percent50_best_same,variance_drop_lowest_percent50_best_diff,variance_drop_lowest_percent50_margin,variance_drop_lowest_percent50_margin_delta
0,CAGD.506.12,BN2123.91r.6.txt,/u/irowerojas/localLatin/canon/CAGD.506.12/BN2123.91r.6.txt,False,,,,,,,,,,,,,,,,,,,,
1,CAGD.506.14,BN2123.88r.9.txt,/u/irowerojas/localLatin/canon/CAGD.506.14/BN2123.88r.9.txt,False,,,,,,,,,,,,,,,,,,,,
2,CAGD.506.15,Brn425.14v.1.txt,/u/irowerojas/localLatin/canon/CAGD.506.15/Brn425.14v.1.txt,True,1.0,1.0,1.0,0.8960534334182739,0.8080403804779053,0.08801305294036865,1.0,1.0,1.0,0.8883284330368042,0.8040040731430054,0.08432435989379883,-0.0036886930465698242,1.0,1.0,1.0,0.8945271968841553,0.8162747025489807,0.07825249433517456,-0.009760558605194092
3,CAGD.506.15,D1723.519.6.txt,/u/irowerojas/localLatin/canon/CAGD.506.15/D1723.519.6.txt,True,1.0,1.0,1.0,0.8960534334182739,0.8419222831726074,0.054131150245666504,1.0,1.0,1.0,0.8883284330368042,0.8206726908683777,0.06765574216842651,0.01352459192276001,1.0,1.0,1.0,0.8945271968841553,0.8232666850090027,0.07126051187515259,0.017129361629486084
4,CAGD.506.18,Brn425.28v.2.txt,/u/irowerojas/localLatin/canon/CAGD.506.18/Brn425.28v.2.txt,True,1.0,1.0,1.0,0.8543134927749634,0.7866824865341187,0.06763100624084473,1.0,1.0,1.0,0.843825101852417,0.7799901962280273,0.06383490562438965,-0.003796100616455078,1.0,1.0,1.0,0.8503767251968384,0.7814840078353882,0.0688927173614502,0.0012617111206054688
5,CAGD.506.18,D1723.531.10.txt,/u/irowerojas/localLatin/canon/CAGD.506.18/D1723.531.10.txt,True,1.0,1.0,1.0,0.8543134927749634,0.8394196033477783,0.014893889427185059,1.0,1.0,1.0,0.843825101852417,0.8233187794685364,0.020506322383880615,0.005612432956695557,1.0,1.0,1.0,0.8503767251968384,0.820408821105957,0.029967904090881348,0.015074014663696289
6,CAGD.506.2,Brn425.53r.1.txt,/u/irowerojas/localLatin/canon/CAGD.506.2/Brn425.53r.1.txt,True,1.0,1.0,1.0,0.9190945029258728,0.8729662895202637,0.04612821340560913,1.0,1.0,1.0,0.9123414754867554,0.860774576663971,0.051566898822784424,0.005438685417175293,1.0,1.0,1.0,0.9130076169967651,0.8666576147079468,0.04635000228881836,0.00022178888320922852
7,CAGD.506.2,D1723.552.5.txt,/u/irowerojas/localLatin/canon/CAGD.506.2/D1723.552.5.txt,True,1.0,1.0,1.0,0.9190945029258728,0.8709197640419006,0.04817473888397217,1.0,1.0,1.0,0.9123414754867554,0.8581122159957886,0.0542292594909668,0.006054520606994629,1.0,1.0,1.0,0.9130076169967651,0.8658233880996704,0.04718422889709473,-0.0009905099868774414
8,CAGD.506.21,BN2123.92r.1.txt,/u/irowerojas/localLatin/canon/CAGD.506.21/BN2123.92r.1.txt,False,,,,,,,,,,,,,,,,,,,,
9,CAGD.506.25,Brn425.24v.1.txt,/u/irowerojas/localLatin/canon/CAGD.506.25/Brn425.24v.1.txt,True,1.0,1.0,1.0,0.9048184156417847,0.843018114566803,0.06180030107498169,1.0,1.0,1.0,0.9014078378677368,0.8394341468811035,0.0619736909866333,0.00017338991165161133,1.0,1.0,1.0,0.9005515575408936,0.8472415208816528,0.05331003665924072,-0.008490264415740967
10,CAGD.506.25,D1723.527.9.txt,/u/irowerojas/localLatin/canon/CAGD.506.25/D1723.527.9.txt,True,1.0,1.0,1.0,0.9048184156417847,0.8425960540771484,0.06222236156463623,1.0,1.0,1.0,0.9014078378677368,0.8322095274925232,0.06919831037521362,0.006975948810577393,1.0,1.0,1.0,0.9005515575408936,0.833882212638855,0.06666934490203857,0.004446983337402344
11,CAGD.506.26,Brn425.53v.1.txt,/u/irowerojas/localLatin/canon/CAGD.506.26/Brn425.53v.1.txt,True,1.0,1.0,1.0,0.8958940505981445,0.8619269132614136,0.03396713733673096,1.0,1.0,1.0,0.8848319053649902,0.8543962240219116,0.030435681343078613,-0.0035314559936523438,1.0,1.0,1.0,0.8803009986877441,0.860806941986084,0.019494056701660156,-0.0144730806350708
12,CAGD.506.26,D1723.553.1.txt,/u/irowerojas/localLatin/canon/CAGD.506.26/D1723.553.1.txt,True,1.0,1.0,1.0,0.8958940505981445,0.8684781789779663,0.027415871620178223,1.0,1.0,1.0,0.8848319053649902,0.8564406633377075,0.028391242027282715,0.0009753704071044922,1.0,1.0,1.0,0.8803009986877441,0.8586933612823486,0.021607637405395508,-0.005808234214782715
