run_label,metric,count,mean,median,p25,p75,min,max,std
baseline,margin,999,0.06731873804384524,0.07443177700042725,0.03653886914253235,0.112851083278656,-0.4990806579589844,0.35175788402557373,0.08725900779087552
variance_drop_lowest_percent25,margin,999,0.06999139790539746,0.08008253574371338,0.03877851366996765,0.11918756365776062,-0.5482874512672424,0.35230082273483276,0.09168669608374523
variance_drop_lowest_percent25,margin_delta,999,0.0026726598615522262,0.003355860710144043,-0.0018451511859893799,0.007946014404296875,-0.04920679330825806,0.03497952222824097,0.008104708337502826
variance_drop_lowest_percent50,margin,999,0.06807284804435822,0.07842099666595459,0.0377422571182251,0.1175302267074585,-0.5442242920398712,0.3568689227104187,0.09216239801913678
variance_drop_lowest_percent50,margin_delta,999,0.0007541100005129794,0.0012230873107910156,-0.006726861000061035,0.009273946285247803,-0.05932462215423584,0.05802732706069946,0.012823477186196596
