model,layer,condition,aucroc,acc_at_1,acc_at_3,same_avg_cos,diff_avg_cos,cos_gap
bowphs/LaTa,1,filter_no_empty,0.9287383533696502,0.88125,0.9125,0.8082449436187744,0.4873705506324768,0.3208743929862976
bowphs/LaTa,1,filter_content_only,0.9307484226082195,0.903125,0.915625,0.7940912842750549,0.4278149306774139,0.366276353597641
bowphs/LaTa,1,abtt_D10,0.950845829844106,0.896875,0.93125,0.5577273964881897,0.0010733447270467,0.5566540517611429
bowphs/LaTa,4,baseline,0.4677970590631001,0.059375,0.078125,0.9336580634117126,0.9046412706375122,0.0290167927742004
bowphs/LaTa,4,filter_no_empty,0.9131944292354176,0.83125,0.85625,0.8877729773521423,0.7175449132919312,0.1702280640602111
bowphs/LaTa,4,filter_content_only,0.9249044176261184,0.834375,0.875,0.8879696726799011,0.7017841339111328,0.1861855387687683
bowphs/LaTa,4,abtt_D10,0.9568913350755908,0.89375,0.91875,0.5671676397323608,0.0013722860021516,0.5657953537302092
bowphs/LaTa,8,baseline,0.4634420565276723,0.034375,0.046875,0.9147970080375672,0.8912863731384277,0.0235106348991394
bowphs/LaTa,8,filter_no_empty,0.8826638507734083,0.765625,0.796875,0.90558123588562,0.7837953567504883,0.1217858791351318
bowphs/LaTa,8,filter_content_only,0.8944366220271218,0.7875,0.8125,0.9085273146629332,0.7769507765769958,0.1315765380859375
bowphs/LaTa,8,abtt_D10,0.9541500600684664,0.896875,0.9125,0.5561272501945496,0.0009777358500286,0.5551495143445209
bowphs/LaTa,12,baseline,0.9291783422218204,0.8125,0.875,0.8139119148254395,0.5657724738121033,0.2481394410133361
bowphs/LaTa,12,filter_no_empty,0.9281388964878718,0.828125,0.878125,0.8246299028396606,0.5699113011360168,0.2547186017036438
bowphs/LaTa,12,filter_content_only,0.933716737968797,0.85625,0.8875,0.8235007524490356,0.5435339212417603,0.2799668312072754
bowphs/LaTa,12,abtt_D10,0.9629464745342928,0.8875,0.91875,0.5378729104995728,0.0005653278785757,0.537307582620997
bowphs/PhilTa,1,baseline,0.7816515335189919,0.609375,0.659375,0.9576357007026672,0.9122490882873536,0.0453866124153137
bowphs/PhilTa,1,filter_no_empty,0.9389795479625014,0.859375,0.896875,0.8522822856903076,0.5894064903259277,0.2628757953643799
bowphs/PhilTa,1,filter_content_only,0.9391514929247164,0.884375,0.90625,0.8327045440673828,0.5263978242874146,0.3063067197799682
bowphs/PhilTa,1,abtt_D10,0.9644283093813836,0.903125,0.925,0.5629788041114807,0.0011636742856353,0.5618151298258454
bowphs/PhilTa,6,baseline,0.4641319601097421,0.053125,0.06875,0.9501832723617554,0.9439725875854492,0.0062106847763061
bowphs/PhilTa,6,filter_no_empty,0.695938634551927,0.390625,0.43125,0.6898326277732849,0.5157769918441772,0.1740556359291076
bowphs/PhilTa,6,filter_content_only,0.6823026856066503,0.4,0.4375,0.6637633442878723,0.4824490547180176,0.1813142895698547
bowphs/PhilTa,6,abtt_D10,0.9703239697493672,0.88125,0.9125,0.5576426982879639,0.0011929793981835,0.5564497188897803
bowphs/PhilTa,9,baseline,0.4665875376946053,0.059375,0.075,0.9457253813743592,0.9403271079063416,0.0053982734680175
bowphs/PhilTa,9,filter_no_empty,0.724316411205896,0.421875,0.44375,0.7322045564651489,0.5603559613227844,0.1718485951423645
bowphs/PhilTa,9,filter_content_only,0.7055659375138402,0.41875,0.45625,0.7069715857505798,0.5258750915527344,0.1810964941978454
bowphs/PhilTa,9,abtt_D10,0.9682022496617404,0.8875,0.903125,0.5414063334465027,0.0005289604305289,0.5408773730159737
bowphs/PhilTa,12,baseline,0.9132152130619856,0.6875,0.746875,0.826721727848053,0.6318807005882263,0.1948410272598266
bowphs/PhilTa,12,filter_no_empty,0.9172799167531978,0.703125,0.75625,0.8384779095649719,0.643363356590271,0.1951145529747009
bowphs/PhilTa,12,filter_content_only,0.926078554502228,0.740625,0.815625,0.8326747417449951,0.6181455850601196,0.2145291566848755
bowphs/PhilTa,12,abtt_D10,0.968123007866352,0.878125,0.90625,0.4891573786735534,0.0008670939714647,0.4882902847020887
google/mt5-base,1,baseline,0.8539009041307452,0.53125,0.615625,0.9615192413330078,0.9063603281974792,0.0551589131355285
google/mt5-base,1,filter_no_empty,0.8816012873185828,0.703125,0.753125,0.9821781516075134,0.9509779810905457,0.0312001705169677
google/mt5-base,1,filter_content_only,0.8889131459041438,0.76875,0.803125,0.9733509421348572,0.9278351068496704,0.0455158352851867
google/mt5-base,1,abtt_D10,0.967781861097318,0.8875,0.90625,0.5457661747932434,0.0009642181103117,0.5448019566829316
google/mt5-base,4,baseline,0.7096496331317247,0.2375,0.3,0.9760338068008424,0.952301025390625,0.0237327814102172
google/mt5-base,4,filter_no_empty,0.843432270984464,0.60625,0.684375,0.9608054161071776,0.9162399172782898,0.0445654988288879
google/mt5-base,4,filter_content_only,0.853839813617634,0.690625,0.74375,0.9655725955963136,0.9246847033500672,0.0408878922462463
google/mt5-base,4,abtt_D10,0.9715484125558824,0.83125,0.890625,0.4993965327739715,0.0011927532032132,0.4982037795707583
google/mt5-base,8,baseline,0.6910223359658334,0.18125,0.234375,0.9997831583023072,0.9995424151420592,0.0002407431602478
google/mt5-base,8,filter_no_empty,0.7036294357209891,0.409375,0.478125,0.6755280494689941,0.4352246224880218,0.2403034269809723
google/mt5-base,8,filter_content_only,0.738295332003434,0.5375,0.575,0.7879961729049683,0.5810616612434387,0.2069345116615295
google/mt5-base,8,abtt_D10,0.9531148286176058,0.78125,0.83125,0.4540310502052307,0.00165379664395,0.4523772535612806
google/mt5-base,12,baseline,0.845710030157454,0.5375,0.625,0.9066778421401978,0.816295862197876,0.0903819799423217
google/mt5-base,12,filter_no_empty,0.852013137590613,0.609375,0.6875,0.9129173755645752,0.8227987885475159,0.0901185870170593
google/mt5-base,12,filter_content_only,0.8586965591849713,0.671875,0.734375,0.9046486020088196,0.8008086085319519,0.1038399934768676
google/mt5-base,12,abtt_D10,0.9507062496911184,0.778125,0.8375,0.426819235086441,0.0012048140633851,0.4256144210230559
sentence-transformers/LaBSE,1,baseline,0.8429964411098293,0.503125,0.5875,0.9401420950889589,0.8692035675048828,0.0709385275840759
sentence-transformers/LaBSE,1,filter_no_empty,0.8553722862284441,0.609375,0.703125,0.9453599452972412,0.8727149963378906,0.0726449489593505
sentence-transformers/LaBSE,1,filter_content_only,0.8636596462683419,0.74375,0.81875,0.9354407787322998,0.8417250514030457,0.0937157273292541
sentence-transformers/LaBSE,1,abtt_D10,0.9703642764359104,0.875,0.9125,0.5128792524337769,0.0002981447905767,0.5125811076432001
sentence-transformers/LaBSE,6,baseline,0.9038793924831084,0.684375,0.778125,0.9433489441871644,0.8617997169494629,0.0815492272377014
sentence-transformers/LaBSE,6,filter_no_empty,0.9142301031306967,0.76875,0.825,0.9462063312530518,0.8602073788642883,0.0859989523887634
sentence-transformers/LaBSE,6,filter_content_only,0.9195864790578449,0.809375,0.859375,0.9425861239433287,0.8433195948600769,0.0992665290832519
sentence-transformers/LaBSE,6,abtt_D10,0.9669304099968724,0.85625,0.896875,0.5235720276832581,0.0016530748689547,0.5219189528143033
sentence-transformers/LaBSE,9,baseline,0.9162712540896796,0.7875,0.84375,0.952743411064148,0.861323893070221,0.091419517993927
sentence-transformers/LaBSE,9,filter_no_empty,0.921425189573054,0.821875,0.853125,0.9548903703689576,0.8623399138450623,0.0925504565238952
sentence-transformers/LaBSE,9,filter_content_only,0.924130361115613,0.83125,0.878125,0.9556844830513,0.8605905175209045,0.0950939655303955
sentence-transformers/LaBSE,9,abtt_D10,0.9712417985737274,0.8625,0.890625,0.5567020177841187,0.0005278323078528,0.5561741854762658
sentence-transformers/LaBSE,11,baseline,0.9479274775195096,0.865625,0.8875,0.9721193313598632,0.9126370549201964,0.0594822764396667
sentence-transformers/LaBSE,11,filter_no_empty,0.9500042231319764,0.86875,0.884375,0.9712975025177002,0.9094687700271606,0.0618287324905395
sentence-transformers/LaBSE,11,filter_content_only,0.949343531942651,0.871875,0.88125,0.9684712290763856,0.8974828124046326,0.0709884166717529
sentence-transformers/LaBSE,11,abtt_D10,0.9695024168305147,0.9125,0.925,0.6000434756278992,0.0006157476454973,0.5994277279824018
