model,method,repr,pooling,layer,D,n_seeds,dir_acc_at_1_mean,dir_acc_at_1_std,dir_acc_at_2_mean,dir_acc_at_2_std,dir_acc_at_3_mean,dir_acc_at_3_std,dir_acc_at_4_mean,dir_acc_at_4_std,dir_acc_at_5_mean,dir_acc_at_5_std,existing_acc_mean,existing_acc_std,new_acc_mean,new_acc_std,overall_assignment_acc_mean,overall_assignment_acc_std,tau_mean,tau_std
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,baseline,hidden,mean,1,10,5,0.596275174015849,0.012042998809322084,0.8658768637118518,0.006111073632745921,0.8896670541905136,0.004835684203722299,0.903137013249815,0.003934172557582787,0.9128557135683979,0.006580779303338566,0.343801652892562,0.003457272836917676,0.9222027478463122,0.021931536668281706,0.596275174015849,0.012042998809322084,0.9748743718592966,1.2412670766236366e-16
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,baseline,hidden,mean,2,10,5,0.620472666561035,0.018316201398311468,0.8574920813482549,0.004942072563639159,0.8854325435482455,0.005457384053107228,0.898956927829337,0.004317012218684709,0.9129537126178866,0.003449770286051662,0.4223140495867769,0.013829091347670672,0.876087705592656,0.02349494707832904,0.620472666561035,0.018316201398311468,0.9798994974874372,0.0
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,baseline,hidden,mean,3,10,5,0.6046590019974527,0.011297059674569173,0.8575275269008239,0.008319793220731491,0.8844881144081249,0.004205443199469197,0.8980656714670128,0.004959833077263099,0.9129684065026854,0.007320241208540621,0.3785123966942149,0.00805520193785864,0.8963261259300863,0.01794046207973047,0.6046590019974527,0.011297059674569173,0.9748743718592966,1.2412670766236366e-16
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,baseline,hidden,mean,4,10,5,0.5622194909806877,0.01539107319779268,0.839374635885622,0.006366101752347326,0.8691855356442618,0.0029536372497644754,0.8859627576143335,0.00903254011357301,0.8961587056204715,0.01181890582150991,0.2652892561983471,0.009422937397513542,0.9454795672617455,0.01556381420172809,0.5622194909806877,0.01539107319779268,0.9798994974874372,0.0
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,baseline,hidden,mean,5,10,5,0.5497028702625996,0.012515935870198834,0.802926301633302,0.01338531582418102,0.8370082816774425,0.006301697602534405,0.8579378087387998,0.004351761984457334,0.8737843946405339,0.004325344069715406,0.27024793388429746,0.004711468698756772,0.9103747779985405,0.01888297689797371,0.5497028702625996,0.012515935870198834,0.9798994974874372,0.0
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,baseline,hidden,mean,6,10,5,0.5221708958731253,0.01581186937256256,0.8252393115603136,0.015560266650039558,0.8616132709605588,0.008305484062421676,0.8812746564251579,0.005238915584203475,0.8947753835656019,0.005169161784812822,0.20330578512396694,0.011832909969649875,0.9339601836631541,0.013788784518065575,0.5221708958731253,0.01581186937256256,0.9798994974874372,0.0
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,baseline,hidden,mean,7,10,5,0.603712791960897,0.017634515980763116,0.8443808298916519,0.01508421338848898,0.8812490162219504,0.010235189649083624,0.8962304443515741,0.009096977942344315,0.9115531424543922,0.006461130312161089,0.3925619834710744,0.017773399312071555,0.8758650414095959,0.023428359175028415,0.603712791960897,0.017634515980763116,0.9698492462311558,0.0
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,baseline,hidden,mean,8,10,5,0.6074139399743428,0.013619916925449468,0.8500009437133503,0.010587134150277504,0.8877946749246448,0.006747597543885303,0.9035854308160879,0.007827999992280328,0.9134057249202628,0.0087485264937207,0.387603305785124,0.01108794038429647,0.8908957504997108,0.017043839465866892,0.6074139399743428,0.013619916925449468,0.9698492462311558,0.0
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,baseline,hidden,mean,9,10,5,0.6143980411852785,0.010621679027307639,0.8366866768893356,0.012389752201978013,0.8766487482040386,0.008871356361609404,0.8961658706157223,0.00509060180185741,0.9087497966007307,0.006949662225046598,0.3867768595041322,0.007506571125861553,0.9081338437774082,0.01334860961445461,0.6143980411852785,0.010621679027307639,0.9698492462311558,0.0
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,baseline,hidden,mean,10,10,5,0.6022793093571369,0.013185845862865595,0.8222925358964197,0.012330492766749595,0.8595302807377289,0.011399710178061573,0.8854667041993665,0.007795067151085701,0.9031481123985104,0.0042766451421049016,0.35950413223140504,0.0050609292206264065,0.9156247292880956,0.017016149548733994,0.6022793093571369,0.013185845862865595,0.9698492462311558,0.0
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,baseline,hidden,mean,11,10,5,0.6013437438296301,0.012482218855831954,0.8166115347377099,0.01006452370405626,0.8598770259866969,0.007322991862445727,0.8803672840253709,0.00700609117955494,0.8943497797471505,0.0064293709198859315,0.36115702479338846,0.006914545673835332,0.9112347348981013,0.020264943860212676,0.6013437438296301,0.012482218855831954,0.9698492462311558,0.0
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,baseline,hidden,mean,12,10,5,0.639585016271138,0.010292006526461395,0.8543298413048405,0.008662110064496407,0.8836015811057063,0.004122880226179634,0.9003973647959459,0.0020652249274612663,0.9073560777914162,0.0023725483801456896,0.41570247933884297,0.005543970192148221,0.9285025042450785,0.01850665551245433,0.639585016271138,0.010292006526461395,0.964824120603015,0.0
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,baseline,hidden,mean,13,10,5,0.6446758248202621,0.01067499400823643,0.833423016516359,0.008562458004824471,0.8748575909112857,0.006235424431119976,0.8934188131593579,0.004255569787636614,0.9022376454907451,0.004463746969168472,0.43553719008264463,0.004711468698756772,0.9145025942055645,0.01811131565564525,0.6446758248202621,0.01067499400823643,0.964824120603015,0.0
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,baseline,hidden,mean,14,10,5,0.6540370568491156,0.009611222075146999,0.8292183693948576,0.013779678659598303,0.872514252617053,0.00905042815397079,0.8953012130717374,0.005782544652896418,0.9040852566563273,0.0016775533402889928,0.4793388429752066,0.004132231404958664,0.8795598710450196,0.017297094159598774,0.6540370568491156,0.009611222075146999,0.964824120603015,0.0
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,baseline,hidden,mean,15,10,5,0.6614821618425923,0.009357861117058284,0.8640917891648054,0.004583482460707615,0.8892144923241732,0.0050254500077871545,0.9074143497370523,0.0075431881876663375,0.9139314758946862,0.006821845158230065,0.4603305785123967,0.00905326541330855,0.9210701387929111,0.013796514844308402,0.6614821618425923,0.009357861117058284,0.964824120603015,0.0
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,baseline,hidden,mean,16,10,5,0.6847863321980434,0.00818362941941476,0.8771761522073458,0.0071211155924653935,0.9060157800002813,0.007456999586540463,0.9162497066712912,0.005504551076719264,0.9208785072342636,0.004524644037470334,0.4768595041322314,0.00905326541330855,0.9532046310264132,0.014646303902255185,0.6847863321980434,0.00818362941941476,0.964824120603015,0.0
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,baseline,hidden,mean,17,10,5,0.7565763672865835,0.0058090106446745775,0.9055350118751964,0.007006391404385131,0.9269378980591432,0.003971561233295432,0.9367044735689174,0.003152869584350957,0.9427652235938189,0.0035443000737574353,0.6115702479338843,0.015735068400545255,0.9436628174251938,0.009894830296176785,0.7565763672865835,0.0058090106446745775,0.9597989949748744,0.0
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,baseline,hidden,mean,18,10,5,0.7807080510160873,0.008316699787070088,0.9232248201494215,0.00598532094366378,0.9385992575314402,0.007164313353781483,0.9451497634142317,0.007641601703928673,0.9488957208209859,0.008452724894985131,0.6363636363636364,0.013067263058547014,0.9669450508064369,0.0069495353502234255,0.7807080510160873,0.008316699787070088,0.9698492462311558,0.0
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,baseline,hidden,mean,19,10,5,0.8053108085104815,0.012117159566284078,0.9302442103352802,0.006834656596210005,0.9451332843998594,0.005762409793579192,0.9511805718724331,0.005129799283482877,0.9568089291915667,0.008249144692101083,0.6727272727272726,0.02032789070454356,0.9764853244061165,0.0032919770215704925,0.8053108085104815,0.012117159566284078,0.9698492462311558,0.0
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,baseline,hidden,mean,20,10,5,0.7937354270144397,0.009798317404379074,0.9274012652453172,0.007334393415975287,0.9460731146002658,0.0056862683249504975,0.9521484842113923,0.007987308713539781,0.9563470034844869,0.00880559018323617,0.650413223140496,0.017677065815047466,0.9786653065860985,0.0037405684094938105,0.7937354270144397,0.009798317404379074,0.9748743718592966,1.2412670766236366e-16
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,baseline,hidden,mean,21,10,5,0.804869176084166,0.010171254501568586,0.9264671087394497,0.00598013581358898,0.945591519960739,0.004907927674205483,0.9539731124062613,0.0047408138319655286,0.9586367017160311,0.006678665347386288,0.6727272727272727,0.015843214473289964,0.9754774053783954,0.006111123306154118,0.804869176084166,0.010171254501568586,0.9798994974874372,0.0
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,baseline,hidden,mean,22,10,5,0.8709653088573435,0.005776966395451299,0.9437345905428967,0.005753816628338411,0.9572303924573099,0.0046259521973011745,0.9632968984558226,0.0062597495797685814,0.9651636002797928,0.0072050841052499785,0.8107438016528926,0.005387770582812089,0.9487179465397286,0.005515551868324031,0.8709653088573435,0.005776966395451299,0.9698492462311558,0.0
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,baseline,hidden,mean,23,10,5,0.8728487872719075,0.00658957252030965,0.9525383815916462,0.006627927664404564,0.9590401857688043,0.00468826594395833,0.9637184402532781,0.004469513065071747,0.9641688907037287,0.00432796091037119,0.8107438016528926,0.006129089658756759,0.9529462287878129,0.006822611140499048,0.8728487872719075,0.00658957252030965,0.964824120603015,0.0
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,baseline,hidden,mean,24,10,5,0.8477291174529686,0.009260716656327087,0.9343334748325447,0.00475679799562686,0.9474335359634946,0.006635640139576981,0.9576675867546959,0.005448451424575029,0.9651002333994555,0.006694373243955169,0.7487603305785124,0.016886625406365745,0.9753010512416452,0.006647287958932353,0.8477291174529686,0.009260716656327087,0.8391959798994975,0.0
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,sif_abtt_fixed,hidden,sif,1,10,5,0.8952496477343459,0.004261031397309093,0.9525851914116774,0.007336978096839947,0.9697796905063052,0.005168498312038594,0.9725798920303712,0.004691918912430091,0.9735156272665486,0.004080886738682038,0.8561983471074381,0.010696015789706456,0.9454975833193655,0.007598987097641102,0.8952496477343459,0.004261031397309093,0.36683417085427134,0.0
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,sif_abtt_fixed,hidden,sif,2,10,5,0.89342175108969,0.0034941512858978657,0.9521155261826474,0.005422870752375871,0.9651351133232108,0.003270982055968797,0.9707186156605573,0.003700284206007874,0.9739773047332454,0.004662175126207295,0.8454545454545453,0.004711468698756787,0.9553301631519453,0.008017243317498814,0.89342175108969,0.0034941512858978657,0.3869346733668342,0.0
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,sif_abtt_fixed,hidden,sif,3,10,5,0.8933858838407079,0.004065453455902221,0.957740569463515,0.006816438072319526,0.9712153757029135,0.0054057888719103815,0.977236117926125,0.004045244376290677,0.9795308655038916,0.0028934774141087076,0.8429752066115702,0.0,0.9585196043611885,0.009777744636081595,0.8933858838407079,0.004065453455902221,0.3919597989949749,0.0
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,sif_abtt_fixed,hidden,sif,4,10,5,0.88866882417692,0.005484473506470683,0.9585993511468358,0.005633257364209264,0.9692522079712858,0.002266315165083223,0.9772379773542725,0.00337194192818131,0.9814389841511912,0.004255432477357891,0.8421487603305785,0.007948505810607999,0.9488008866226689,0.00793885722286757,0.88866882417692,0.005484473506470683,0.3919597989949749,0.0
