model,method,repr,pooling,layer,D,n_seeds,dir_acc_at_1_mean,dir_acc_at_1_std,dir_acc_at_2_mean,dir_acc_at_2_std,dir_acc_at_3_mean,dir_acc_at_3_std,dir_acc_at_4_mean,dir_acc_at_4_std,dir_acc_at_5_mean,dir_acc_at_5_std,existing_acc_mean,existing_acc_std,new_acc_mean,new_acc_std,overall_assignment_acc_mean,overall_assignment_acc_std,tau_mean,tau_std
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,baseline,hidden,mean,1,10,10,0.27065932144443783,0.014162804800477553,0.4068597059398741,0.03205764021089756,0.48369295481926444,0.03580502707872352,0.5333924195426081,0.02867894752554022,0.5770845852025297,0.02883675702594164,0.2637362637362638,0.02072107783696843,0.3021633926714018,0.06041951473085616,0.27065932144443783,0.014162804800477553,0.9698492462311558,0.0
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,baseline,hidden,mean,2,10,10,0.25740474893585985,0.021587204998895698,0.35902662733387886,0.02782325785681944,0.40624993419394534,0.034119731920717954,0.4640912952556234,0.024873571151984717,0.4959630826032379,0.021287978740664466,0.27912087912087913,0.030734325221103344,0.16632482391750122,0.046535667544504986,0.25740474893585985,0.021587204998895698,0.9748743718592966,1.1702778228589004e-16
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,baseline,hidden,mean,3,10,10,0.2521266501052729,0.02833343402592457,0.34922613645704953,0.029277435910178375,0.39545058627008134,0.031236319276112232,0.45159025326926167,0.037303147945847666,0.4968794972529234,0.03910646312022056,0.2813186813186813,0.03444002717521805,0.1280890203109883,0.04688784182039653,0.2521266501052729,0.02833343402592457,0.9648241206030151,1.1702778228589004e-16
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,baseline,hidden,mean,4,10,10,0.25746906939535313,0.023857024078436276,0.34115497655289595,0.03296907962237997,0.39359554839716937,0.03947037311486376,0.4443149297344278,0.03679844450443354,0.48234696245853864,0.038553518760930966,0.27912087912087913,0.02846792560838893,0.16632482391750122,0.046535667544504986,0.25746906939535313,0.023857024078436276,0.9648241206030151,1.1702778228589004e-16
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,baseline,hidden,mean,5,10,10,0.22711732303311796,0.024701777213532058,0.34466096700755566,0.01447307162524204,0.39359439418767417,0.024184973907930667,0.4426442605198435,0.029080852891731433,0.4790032085777109,0.03438680729496744,0.24615384615384617,0.035210592939774105,0.14672256068365908,0.04388631555032141,0.22711732303311796,0.024701777213532058,0.9698492462311558,0.0
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,baseline,hidden,mean,6,10,10,0.22789757961951707,0.023779132813468613,0.35801654687440065,0.028832097256890937,0.44083280578093065,0.0360619646328255,0.4871733396989182,0.030527254173768458,0.5379481204974346,0.03915534340044837,0.24065934065934064,0.03335144216876202,0.1751713968716257,0.046826990485523946,0.22789757961951707,0.023779132813468613,0.9698492462311558,0.0
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,baseline,hidden,mean,7,10,10,0.2894604436763554,0.022673601983038714,0.41762190771940777,0.033108382768644584,0.47378870993460237,0.03497318581764294,0.5113062686712178,0.025896844818128647,0.5584416407746259,0.0253379220859771,0.3197802197802197,0.02454485797472668,0.16092018914215708,0.05726702041134077,0.2894604436763554,0.022673601983038714,0.9597989949748745,1.1702778228589004e-16
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,baseline,hidden,mean,8,10,10,0.3349479454846253,0.028750696618227954,0.43282113317330156,0.0391166786216328,0.48360788150085304,0.0379589099099806,0.5229479971726441,0.039444949835990964,0.5664723888880273,0.0310350065964109,0.3791208791208791,0.03203819722442472,0.1476128298347978,0.060708417568305945,0.3349479454846253,0.028750696618227954,0.9547738693467338,1.1702778228589004e-16
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,baseline,hidden,mean,9,10,10,0.35164104395354345,0.01996809321692669,0.4408950536738754,0.02876102494563468,0.5013677824557352,0.0328750477606511,0.5602070625062507,0.035891958130568793,0.6082766808288769,0.03378616743597434,0.36153846153846153,0.02763080170790638,0.31091560257692985,0.04603894848957744,0.35164104395354345,0.01996809321692669,0.9597989949748745,1.1702778228589004e-16
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,baseline,hidden,mean,10,10,10,0.3481712384185209,0.02428770219744612,0.4443781431184394,0.04018341149545454,0.5058287036837543,0.032505581348644064,0.5576365081156089,0.032551213770658546,0.5959283120752825,0.034454801996094304,0.38351648351648354,0.027630801707906393,0.19976697673036342,0.06251323900512229,0.3481712384185209,0.02428770219744612,0.9547738693467338,1.1702778228589004e-16
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,baseline,hidden,mean,11,10,10,0.3614608986867553,0.0327828931069247,0.4496709166337326,0.03629092686562537,0.515770294951606,0.03458677164843474,0.5656883060346634,0.030672088852813768,0.5994433060406242,0.028047883827744396,0.4043956043956044,0.04265473004544948,0.18084863344131077,0.05562621550094514,0.3614608986867553,0.0327828931069247,0.9497487437185932,2.340555645717801e-16
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,baseline,hidden,mean,12,10,10,0.38715174203854896,0.026819468789217635,0.472893010779733,0.033427323672285035,0.5183487272876738,0.039952487241663615,0.5629240151865531,0.0350495743358065,0.6092007341037589,0.026374916852815757,0.443956043956044,0.039178731009878204,0.14636463358660157,0.05133974180234605,0.38715174203854896,0.026819468789217635,0.9396984924623114,1.1702778228589004e-16
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,baseline,hidden,mean,13,10,10,0.3836248092079566,0.030157324668087317,0.4673724784750812,0.03931510297555785,0.5262880378121702,0.03790960949029964,0.5709052590923429,0.025059379869741535,0.6098932289566013,0.02734265094717079,0.42747252747252745,0.040937241233548756,0.1986697012623786,0.05845096651521794,0.3836248092079566,0.030157324668087317,0.9447236180904521,1.1702778228589004e-16
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,baseline,hidden,mean,14,10,10,0.38363608512481795,0.02469449257614941,0.46213533827531983,0.03317554191272006,0.5111776447419791,0.03265799184674627,0.5432341614323559,0.021106286189551095,0.5938773264292014,0.027724730507265823,0.43076923076923074,0.03728354769230615,0.18460043719311453,0.05297856946611024,0.38363608512481795,0.02469449257614941,0.9447236180904521,1.1702778228589004e-16
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,baseline,hidden,mean,15,10,10,0.38632144028675863,0.024653194248002955,0.4576946339280411,0.025792785602606404,0.5092252937314741,0.028346390458429772,0.5627638095549141,0.025740655707378712,0.5984168416820187,0.021580265122900393,0.4230769230769231,0.036721497538028246,0.23136005032343707,0.05887138609338245,0.38632144028675863,0.024653194248002955,0.9447236180904521,1.1702778228589004e-16
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,baseline,hidden,mean,16,10,10,0.38099549129099936,0.024109412226449176,0.4690089975949686,0.026541103785185118,0.5279160331704766,0.022026219458501216,0.584007703078693,0.02725547934596067,0.6268472418979811,0.026194611146046744,0.4054945054945055,0.03453728810644151,0.2780938776453651,0.05378052795470824,0.38099549129099936,0.024109412226449176,0.9497487437185932,2.340555645717801e-16
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,baseline,hidden,mean,17,10,10,0.41914364549041705,0.03054572648177126,0.5127463437772287,0.029896696733017807,0.5715907050394897,0.023339786318526647,0.6116076633369362,0.029573342399996344,0.6597554098603918,0.036452831068763646,0.4153846153846154,0.039041502108349384,0.4373614867207545,0.05591621587924028,0.41914364549041705,0.03054572648177126,0.9497487437185932,2.340555645717801e-16
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,baseline,hidden,mean,18,10,10,0.4228248154545119,0.0295534951046145,0.49952085825775006,0.03217950548991019,0.5554838363469103,0.021352394768614953,0.6061949147709506,0.028232645793776406,0.653386245899064,0.030582366244574083,0.4450549450549451,0.034846698883590564,0.3284173609253701,0.031468026958262015,0.4228248154545119,0.0295534951046145,0.9547738693467338,1.1702778228589004e-16
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,baseline,hidden,mean,19,10,10,0.42456264166529384,0.030430651081401472,0.48782198235887353,0.03222121971960884,0.5529825953648444,0.01991325736798515,0.6118742595589668,0.0209684425753893,0.6606605899981532,0.018782574639356595,0.4417582417582418,0.035815110803165774,0.3512889965361361,0.0445354207604139,0.42456264166529384,0.030430651081401472,0.9547738693467338,1.1702778228589004e-16
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,baseline,hidden,mean,20,10,10,0.4253849034055509,0.03276286229266442,0.5038964325438279,0.029631654283974573,0.5743550033806212,0.022548766250831322,0.6277360243321178,0.017418636898607426,0.6677512940306377,0.029580049355749805,0.4428571428571429,0.035908647423157435,0.3496584676447377,0.058305974993498155,0.4253849034055509,0.03276286229266442,0.9597989949748745,1.1702778228589004e-16
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,baseline,hidden,mean,21,10,10,0.4325860466181151,0.02561339812775353,0.4941773431435073,0.032106649920447046,0.5485565001919431,0.030849388075922995,0.602055824746985,0.026481714805223548,0.6313881985215148,0.02115632257297388,0.4736263736263736,0.028585513575277176,0.2587419107716591,0.05019918175470459,0.4325860466181151,0.02561339812775353,0.9648241206030151,1.1702778228589004e-16
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,baseline,hidden,mean,22,10,10,0.44938658461114933,0.03812952479510464,0.5129091612082127,0.020931652901468263,0.5663773369014801,0.02629750386898581,0.6011635564937097,0.02801614761295321,0.6447383367709024,0.022675082530348514,0.4967032967032967,0.042338998613333005,0.24692319732136667,0.05839344412608488,0.44938658461114933,0.03812952479510464,0.9547738693467338,1.1702778228589004e-16
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,baseline,hidden,mean,23,10,10,0.44230609549235095,0.03631570256391817,0.5404758093570197,0.025786158626961087,0.5833700395470812,0.024099399515309667,0.6314667850352549,0.025569284567864933,0.6671460781965481,0.023449922305140015,0.48681318681318686,0.03590864742315743,0.25156868785930575,0.07964105690871257,0.44230609549235095,0.03631570256391817,0.9497487437185932,2.340555645717801e-16
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,baseline,hidden,mean,24,10,10,0.47696244306388136,0.03502533678831578,0.5615757036874272,0.041416800338089796,0.6258220275178508,0.02736187978110348,0.6613098021277047,0.029096326841926208,0.6960324617128569,0.02640377796222925,0.48461538461538467,0.038921029916892294,0.44392423086702254,0.04641185274223585,0.47696244306388136,0.03502533678831578,0.7487437185929648,0.0
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,sif_abtt_fixed,hidden,sif,1,10,10,0.3934341280191878,0.021743714434091618,0.48871456267872765,0.024669638163548783,0.5734091096031128,0.025364991285823993,0.6516845522577754,0.03676399667207857,0.7033123418570268,0.03095577068179304,0.4747252747252747,0.029668068470793542,0.045789978899818715,0.029603986116218905,0.3934341280191878,0.021743714434091618,0.17587939698492464,0.0
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,sif_abtt_fixed,hidden,sif,2,10,10,0.41135261190468136,0.03024404811990332,0.5340893640120065,0.027111042326664326,0.6214102020212575,0.03095930760245202,0.6739005368493023,0.028109603804875937,0.7203269247824838,0.028070488875847607,0.4725274725274725,0.026917469700914035,0.1506206755360073,0.0783971848203713,0.41135261190468136,0.03024404811990332,0.19095477386934673,0.0
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,sif_abtt_fixed,hidden,sif,3,10,10,0.40606144877982436,0.03542408328860303,0.5033019219636715,0.02668797504334315,0.5822536435166369,0.030186912130935793,0.6678668108004014,0.031162745821812582,0.708703908843542,0.029088638991973236,0.4945054945054945,0.04486244950152342,0.02706926406926407,0.03013637986490024,0.40606144877982436,0.03542408328860303,0.16080402010050251,0.0
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,sif_abtt_fixed,hidden,sif,4,10,10,0.43546733845617946,0.02025700917868994,0.5335033244283276,0.02986642600662529,0.5990861808293293,0.02780227043540233,0.6677207809631053,0.04061532222861458,0.7228399420438298,0.03102983898042956,0.5065934065934066,0.027630801707906386,0.12914862584656633,0.06027242769333043,0.43546733845617946,0.02025700917868994,0.17587939698492464,0.0
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,sif_abtt_fixed,hidden,sif,5,10,10,0.41593006965254126,0.02618375270656701,0.5173248634888817,0.027642441651848426,0.5958263480711873,0.035211632871617535,0.6613917066560472,0.02424233596131609,0.7227909089812207,0.02609827901716273,0.48791208791208796,0.03284470589224894,0.10764686749812609,0.05299456655943067,0.41593006965254126,0.02618375270656701,0.19095477386934673,0.0
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,sif_abtt_fixed,hidden,sif,6,10,10,0.4196276016888998,0.029944743489791897,0.5245611462718374,0.041100255663086886,0.6105862939727223,0.03794039142752546,0.6684858311470034,0.02723511527432265,0.7300359767166823,0.025527164235792803,0.5043956043956044,0.032121848012298525,0.057555770189637465,0.05504927962030038,0.4196276016888998,0.029944743489791897,0.1809045226130653,2.925694557147251e-17
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,sif_abtt_fixed,hidden,sif,7,10,10,0.40341111829132864,0.022453499184387896,0.4719568001918663,0.028062632434767646,0.5486980947903579,0.03029258931627407,0.60199335534794,0.028917911013705493,0.6552114537351681,0.03589842820322182,0.4956043956043956,0.02613341975346075,0.009263157894736843,0.019754105510458156,0.40341111829132864,0.022453499184387896,0.16080402010050251,0.0
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,sif_abtt_fixed,hidden,sif,8,10,10,0.41494067951142777,0.031094397375592026,0.4986456897776178,0.022162506658894927,0.5643882336361459,0.025971599196255947,0.6418648630350989,0.04260141531702957,0.705989553599133,0.03267857478482671,0.4967032967032967,0.0376417071902275,0.06492574651384721,0.04875792460725321,0.41494067951142777,0.031094397375592026,0.18592964824120603,0.0
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,sif_abtt_fixed,hidden,sif,9,10,10,0.4078984449504365,0.022202593895348115,0.5031295914136116,0.023957947254023917,0.5672579490065898,0.029988976191515044,0.6294524019065234,0.03673102101748925,0.6949823030822161,0.03869640197839504,0.4989010989010989,0.026004746299338962,0.018786967418546366,0.02443978779442357,0.4078984449504365,0.022202593895348115,0.17085427135678394,2.925694557147251e-17
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,sif_abtt_fixed,hidden,sif,10,10,10,0.4087020253451721,0.02622994436187779,0.4729470460069938,0.036696344461562204,0.5333624977753499,0.024656166491264512,0.5965743254067363,0.026293019711197886,0.6543908314303233,0.02062991572304036,0.5043956043956044,0.03414658223127155,0.0,0.0,0.4087020253451721,0.02622994436187779,0.1557788944723618,2.925694557147251e-17
