model,repr,pooling,layer,method,D,tau,dir_acc_at_1,dir_acc_at_2,dir_acc_at_3,dir_acc_at_4,dir_acc_at_5,existing_acc,new_acc,overall_assignment_acc,n_query,n_reference_dirs,n_query_existing,n_query_new,seed
bowphs/LaTa,hidden,mean,11,baseline,10,0.9296482412060302,0.1504424778761062,0.26548672566371684,0.35398230088495575,0.4247787610619469,0.4778761061946903,0.14285714285714285,0.18181818181818182,0.1504424778761062,113,46,91,22,42
bowphs/LaTa,hidden,mean,12,baseline,10,0.8090452261306533,0.4336283185840708,0.5132743362831859,0.6017699115044248,0.6637168141592921,0.672566371681416,0.4835164835164835,0.22727272727272727,0.4336283185840708,113,46,91,22,42
bowphs/LaTa,hidden,sif,1,sif_only,10,0.7587939698492463,0.4247787610619469,0.5575221238938053,0.6017699115044248,0.672566371681416,0.7079646017699115,0.4175824175824176,0.45454545454545453,0.4247787610619469,113,46,91,22,42
bowphs/LaTa,hidden,sif,1,sif_abtt_fixed,10,0.20100502512562815,0.415929203539823,0.48672566371681414,0.6194690265486725,0.7168141592920354,0.7876106194690266,0.45054945054945056,0.2727272727272727,0.415929203539823,113,46,91,22,42
bowphs/LaTa,hidden,sif,1,sif_abtt_optimal,1,0.20100502512562815,0.46017699115044247,0.5221238938053098,0.5575221238938053,0.5752212389380531,0.6106194690265486,0.5714285714285714,0.0,0.46017699115044247,113,46,91,22,42
bowphs/LaTa,hidden,sif,2,sif_only,10,0.7889447236180904,0.45132743362831856,0.49557522123893805,0.584070796460177,0.6017699115044248,0.6814159292035398,0.5164835164835165,0.18181818181818182,0.45132743362831856,113,46,91,22,42
bowphs/LaTa,hidden,sif,2,sif_abtt_fixed,10,0.23115577889447236,0.40707964601769914,0.5132743362831859,0.5929203539823009,0.7168141592920354,0.7522123893805309,0.46153846153846156,0.18181818181818182,0.40707964601769914,113,46,91,22,42
bowphs/LaTa,hidden,sif,2,sif_abtt_optimal,3,0.20100502512562815,0.4424778761061947,0.5132743362831859,0.5486725663716814,0.5929203539823009,0.6194690265486725,0.5494505494505495,0.0,0.4424778761061947,113,46,91,22,42
bowphs/LaTa,hidden,sif,3,sif_only,10,0.8492462311557789,0.4336283185840708,0.5221238938053098,0.5575221238938053,0.5929203539823009,0.6637168141592921,0.4725274725274725,0.2727272727272727,0.4336283185840708,113,46,91,22,42
bowphs/LaTa,hidden,sif,3,sif_abtt_fixed,10,0.18592964824120603,0.4247787610619469,0.5309734513274337,0.584070796460177,0.6194690265486725,0.6637168141592921,0.5054945054945055,0.09090909090909091,0.4247787610619469,113,46,91,22,42
bowphs/LaTa,hidden,sif,3,sif_abtt_optimal,1,0.23618090452261306,0.4424778761061947,0.5132743362831859,0.5752212389380531,0.5929203539823009,0.6194690265486725,0.5494505494505495,0.0,0.4424778761061947,113,46,91,22,42
bowphs/LaTa,hidden,sif,4,sif_only,10,0.864321608040201,0.37168141592920356,0.48672566371681414,0.5132743362831859,0.5575221238938053,0.6371681415929203,0.4175824175824176,0.18181818181818182,0.37168141592920356,113,46,91,22,42
bowphs/LaTa,hidden,sif,4,sif_abtt_fixed,10,0.17587939698492464,0.4247787610619469,0.5221238938053098,0.5752212389380531,0.5752212389380531,0.6283185840707964,0.5274725274725275,0.0,0.4247787610619469,113,46,91,22,42
bowphs/LaTa,hidden,sif,4,sif_abtt_optimal,1,0.18090452261306533,0.4424778761061947,0.504424778761062,0.5663716814159292,0.5929203539823009,0.6194690265486725,0.5494505494505495,0.0,0.4424778761061947,113,46,91,22,42
bowphs/LaTa,hidden,sif,5,sif_only,10,0.8693467336683417,0.3805309734513274,0.48672566371681414,0.5309734513274337,0.5752212389380531,0.6460176991150443,0.43956043956043955,0.13636363636363635,0.3805309734513274,113,46,91,22,42
bowphs/LaTa,hidden,sif,5,sif_abtt_fixed,10,0.16080402010050251,0.415929203539823,0.49557522123893805,0.5132743362831859,0.5575221238938053,0.5663716814159292,0.5164835164835165,0.0,0.415929203539823,113,46,91,22,42
bowphs/LaTa,hidden,sif,5,sif_abtt_optimal,1,0.18090452261306533,0.4336283185840708,0.5132743362831859,0.5575221238938053,0.584070796460177,0.6106194690265486,0.5384615384615384,0.0,0.4336283185840708,113,46,91,22,42
bowphs/LaTa,hidden,sif,6,sif_only,10,0.8592964824120604,0.3805309734513274,0.46017699115044247,0.49557522123893805,0.5752212389380531,0.6371681415929203,0.45054945054945056,0.09090909090909091,0.3805309734513274,113,46,91,22,42
bowphs/LaTa,hidden,sif,6,sif_abtt_fixed,10,0.21608040201005024,0.415929203539823,0.5132743362831859,0.5752212389380531,0.6548672566371682,0.6814159292035398,0.5054945054945055,0.045454545454545456,0.415929203539823,113,46,91,22,42
bowphs/LaTa,hidden,sif,6,sif_abtt_optimal,5,0.20603015075376885,0.4424778761061947,0.504424778761062,0.5486725663716814,0.6106194690265486,0.672566371681416,0.5494505494505495,0.0,0.4424778761061947,113,46,91,22,42
bowphs/LaTa,hidden,sif,7,sif_only,10,0.8844221105527639,0.3893805309734513,0.46017699115044247,0.49557522123893805,0.5575221238938053,0.6371681415929203,0.45054945054945056,0.13636363636363635,0.3893805309734513,113,46,91,22,42
bowphs/LaTa,hidden,sif,7,sif_abtt_fixed,10,0.18090452261306533,0.4424778761061947,0.5221238938053098,0.5575221238938053,0.5663716814159292,0.6194690265486725,0.5494505494505495,0.0,0.4424778761061947,113,46,91,22,42
bowphs/LaTa,hidden,sif,7,sif_abtt_optimal,1,0.20603015075376885,0.4247787610619469,0.5221238938053098,0.5663716814159292,0.584070796460177,0.6106194690265486,0.5274725274725275,0.0,0.4247787610619469,113,46,91,22,42
bowphs/LaTa,hidden,sif,8,sif_only,10,0.8894472361809045,0.37168141592920356,0.46017699115044247,0.504424778761062,0.5575221238938053,0.5929203539823009,0.42857142857142855,0.13636363636363635,0.37168141592920356,113,46,91,22,42
