config,model,view,n_pairs,gap_baseline,gap_abtt,paired_mean,paired_se,se_ratio,verdict
centroid_both,bowphs/LaTa,ig,194,0.38785325732958215,0.15625604917451835,-0.23159720815506393,0.05123539592893775,-4.520257996567132,loss
centroid_both,bowphs/LaTa,retrieval_mark,194,0.20014265932757533,0.1534531391455501,-0.04668952018202524,0.036491729563021325,-1.2794548447311136,tie
centroid_both,bowphs/PhilTa,ig,199,0.0023545183341485898,0.23171855676780953,0.22936403843366096,0.011861517765284558,19.336820377654135,win
centroid_both,bowphs/PhilTa,retrieval_mark,199,0.053680466817898405,0.1279407290857322,0.0742602622678338,0.015422075336524503,4.815192550120754,win
centroid_both,google/mt5-base,ig,198,-3.498154367504789e-05,0.3876658214837128,0.3877008030273879,0.0238891344242504,16.2291691336386,win
centroid_both,google/mt5-base,retrieval_mark,198,0.004302869460509123,0.17000812628148823,0.16570525682097906,0.020383384496617238,8.129428007820731,win
draws1,bowphs/LaTa,ig,194,0.7556038308198493,0.18435762502629566,-0.5712462057935536,0.09678965219986618,-5.901934688368922,loss
draws1,bowphs/LaTa,retrieval_mark,194,0.4281335035584068,0.3318336227686741,-0.09629988078973266,0.10403594204774927,-0.9256404939894138,tie
draws1,bowphs/PhilTa,ig,199,0.1122156131518879,0.3929776214145761,0.2807620082626883,0.010412419014143977,26.964148089056735,win
draws1,bowphs/PhilTa,retrieval_mark,199,0.19929394723165925,0.30271101628554836,0.10341706905388903,0.014129916028561364,7.319015119753576,win
draws1,google/mt5-base,ig,198,0.06116561380172691,0.5556748691105967,0.49450925530886974,0.022219575070067926,22.255567613218,win
draws1,google/mt5-base,retrieval_mark,198,0.04126210221375507,0.4578791006268277,0.4166169984130726,0.023327336149574936,17.85960453185582,win
draws20,bowphs/LaTa,ig,194,0.831259451280308,0.17975952120898656,-0.6514999300713215,0.07680135163129877,-8.482922712076547,loss
draws20,bowphs/LaTa,retrieval_mark,194,0.5037891240188656,0.327235518951365,-0.17655360506750054,0.08390041315635306,-2.104323428520943,loss
