threshold,precision,recall,f1,tp,fp,fn,total_pos,total_neg,layer
-0.6539161205291748,0.0021286686446005715,1.0,0.0042482940788025544,1737,814266,0,1737,814266,3
-0.6497710943222046,0.002128689514028885,1.0,0.004248335640527704,1737,814258,0,1737,814266,3
-0.6456260085105896,0.0021292844648042883,1.0,0.004249520491642855,1737,814030,0,1737,814266,3
-0.6414809823036194,0.002130295077141946,1.0,0.004251533134177847,1737,813643,0,1737,814266,3
-0.6373359560966492,0.0021315420362914357,1.0,0.00425401645768025,1737,813166,0,1737,814266,3
-0.633190929889679,0.002131926613611928,1.0,0.0042547823435106,1737,813019,0,1737,814266,3
-0.629045844078064,0.0021331361891405317,1.0,0.004257191209647673,1737,812557,0,1737,814266,3
-0.6249008178710938,0.002133351019144891,1.0,0.004257619042366619,1737,812475,0,1737,814266,3
-0.6207557916641235,0.002133586857989343,1.0,0.004258088713858645,1737,812385,0,1737,814266,3
-0.6166107654571533,0.0021347353518073355,1.0,0.004260375928508096,1737,811947,0,1737,814266,3
-0.6124656796455383,0.002135556148765597,0.9994242947610823,0.004262005302955906,1736,811167,1,1737,814266,3
-0.6083206534385681,0.002136667979519496,0.9994242947610823,0.004264219489399018,1736,810744,1,1737,814266,3
-0.6041756272315979,0.002136859972895359,0.9994242947610823,0.004264601839478029,1736,810671,1,1737,814266,3
-0.6000306010246277,0.0021369730810326406,0.9994242947610823,0.004264827091478822,1736,810628,1,1737,814266,3
-0.5958855152130127,0.002135823609283385,0.9988485895221646,0.00426253270603265,1735,810598,2,1737,814266,3
-0.5917404890060425,0.0021358840836626413,0.9988485895221646,0.004262653139192209,1735,810575,2,1737,814266,3
-0.5875954627990723,0.0021359603388482556,0.9988485895221646,0.004262804999398047,1735,810546,2,1737,814266,3
-0.583450436592102,0.0021360392292530265,0.9988485895221646,0.004262962107549497,1735,810516,2,1737,814266,3
-0.5793053507804871,0.0021361181254855514,0.9988485895221646,0.004263119227281997,1735,810486,2,1737,814266,3
-0.5751603245735168,0.0021362364807627904,0.9988485895221646,0.004263354928598019,1735,810441,2,1737,814266,3
-0.5710152983665466,0.0021363338049274817,0.9988485895221646,0.00426354874698357,1735,810404,2,1737,814266,3
-0.5668702125549316,0.0021352470926652906,0.998272884283247,0.004261379345089399,1734,810350,3,1737,814266,3
-0.5627251863479614,0.0021353496419533402,0.998272884283247,0.0042615835690639516,1734,810311,3,1737,814266,3
-0.5585801601409912,0.0021354995394020602,0.998272884283247,0.004261882085471136,1734,810254,3,1737,814266,3
-0.554435133934021,0.0021356100036209304,0.998272884283247,0.00426210207169131,1734,810212,3,1737,814266,3
-0.550290048122406,0.002134507209658368,0.9976971790443293,0.0042599006432867854,1733,810164,4,1737,814266,3
-0.5461450219154358,0.00213466496353332,0.9976971790443293,0.004260214805291222,1733,810104,4,1737,814266,3
-0.5419999957084656,0.0021348411495867056,0.9976971790443293,0.004260565674296595,1733,810037,4,1737,814266,3
-0.5378549098968506,0.002135022625326321,0.9976971790443293,0.004260927077417087,1733,809968,4,1737,814266,3
-0.5337098836898804,0.002135185716802667,0.9976971790443293,0.004261251868754426,1733,809906,4,1737,814266,3
-0.5295648574829102,0.002135338308807131,0.9976971790443293,0.004261555750641201,1733,809848,4,1737,814266,3
-0.5254198312759399,0.002135543553135355,0.9976971790443293,0.004261964487728099,1733,809770,4,1737,814266,3
-0.5212748050689697,0.0021357251483176696,0.9976971790443293,0.004262326128206736,1733,809701,4,1737,814266,3
-0.5171297192573547,0.0021359330995680066,0.9976971790443293,0.004262740255715221,1733,809622,4,1737,814266,3
-0.5129846930503845,0.0021361094950251946,0.9976971790443293,0.004263091540850528,1733,809555,4,1737,814266,3
-0.5088396668434143,0.002136285919619931,0.9976971790443293,0.0042634428838882205,1733,809488,4,1737,814266,3
-0.5046945810317993,0.0021365071498402857,0.9976971790443293,0.004263883455492487,1733,809404,4,1737,814266,3
-0.5005495548248291,0.0021366783713406457,0.9976971790443293,0.00426422443649123,1733,809339,4,1737,814266,3
-0.4964045286178589,0.0021368733338429933,0.9976971790443293,0.004264612696635434,1733,809265,4,1737,814266,3
-0.49225950241088867,0.002137041978755361,0.9976971790443293,0.004264948546213658,1733,809201,4,1737,814266,3
-0.48811444640159607,0.002137252822332997,0.9976971790443293,0.004265368432581704,1733,809121,4,1737,814266,3
-0.48396939039230347,0.0021374426171276617,0.9976971790443293,0.004265746401007237,1733,809049,4,1737,814266,3
-0.47982436418533325,0.0021376561765681797,0.9976971790443293,0.004266171695563231,1733,808968,4,1737,814266,3
-0.47567930817604065,0.0021378460430110445,0.9976971790443293,0.004266549806368066,1733,808896,4,1737,814266,3
-0.47153425216674805,0.002138009566143206,0.9976971790443293,0.004266875455494495,1733,808834,4,1737,814266,3
-0.46738922595977783,0.0021381994953701133,0.9976971790443293,0.004267253691063637,1733,808762,4,1737,814266,3
-0.4632441997528076,0.0021383709882408105,0.9976971790443293,0.00426759521132969,1733,808697,4,1737,814266,3
-0.459099143743515,0.0021385741769327686,0.9976971790443293,0.004267999852233127,1733,808620,4,1737,814266,3
-0.4549540877342224,0.0021387589274364637,0.9976971790443293,0.0042683677741927545,1733,808550,4,1737,814266,3
-0.4508090615272522,0.0021389463498442383,0.9976971790443293,0.004268741016985057,1733,808479,4,1737,814266,3
-0.446664035320282,0.0021392922436151447,0.9976971790443293,0.004269429847576674,1733,808348,4,1737,814266,3
-0.4425189793109894,0.0021403120928250763,0.9976971790443293,0.004271460824813418,1733,807962,4,1737,814266,3
-0.4383739233016968,0.0021396504908101272,0.9971214738054116,0.004270138002872235,1732,807746,5,1737,814266,3
-0.43422889709472656,0.0021398090974008486,0.9971214738054116,0.00427045385900352,1732,807686,5,1737,814266,3
-0.43008387088775635,0.0021399492194498155,0.9971214738054116,0.004270732904123032,1732,807633,5,1737,814266,3
-0.42593881487846375,0.002140076138274619,0.9971214738054116,0.004270985655702332,1732,807585,5,1737,814266,3
-0.42179375886917114,0.002140200427545813,0.9971214738054116,0.0042712331706138175,1732,807538,5,1737,814266,3
-0.4176487326622009,0.0021403088618919984,0.9971214738054116,0.0042714491113067625,1732,807497,5,1737,814266,3
-0.4135036766529083,0.0021404807925216643,0.9971214738054116,0.004271791501058699,1732,807432,5,1737,814266,3
-0.4093586206436157,0.0021405866097161867,0.9971214738054116,0.004272002229728646,1732,807392,5,1737,814266,3
-0.4052135944366455,0.00214070831242476,0.9971214738054116,0.004272244593402934,1732,807346,5,1737,814266,3
-0.4010685682296753,0.0021408220905152434,0.9971214738054116,0.0042724711756202734,1732,807303,5,1737,814266,3
-0.3969235122203827,0.002140898831405453,0.9971214738054116,0.004272624000453905,1732,807274,5,1737,814266,3
-0.3927784860134125,0.002141017922990107,0.9971214738054116,0.004272861164083296,1732,807229,5,1737,814266,3
-0.3886334300041199,0.002141102618400379,0.9971214738054116,0.004273029829794268,1732,807197,5,1737,814266,3
-0.38448837399482727,0.0021411979087468925,0.9971214738054116,0.004273219594636271,1732,807161,5,1737,814266,3
-0.38034334778785706,0.0021412826183979695,0.9971214738054116,0.00427338828864616,1732,807129,5,1737,814266,3
-0.37619829177856445,0.0021413488024766454,0.9971214738054116,0.004273520090109096,1732,807104,5,1737,814266,3
-0.37205326557159424,0.002141414990646764,0.9971214738054116,0.0042736518997024235,1732,807079,5,1737,814266,3
-0.36790820956230164,0.002140281809953856,0.9965457685664939,0.00427138995372044,1731,807041,6,1737,814266,3
-0.3637631833553314,0.0021403797288357743,0.9965457685664939,0.00427158495296568,1731,807004,6,1737,814266,3
-0.3596181273460388,0.0021404908908572227,0.9965457685664939,0.0042718063250373264,1731,806962,6,1737,814266,3
-0.3554731011390686,0.002140607358693327,0.9965457685664939,0.004272038263247391,1731,806918,6,1737,814266,3
-0.351328045129776,0.0021407211917794326,0.9965457685664939,0.004272264954469897,1731,806875,6,1737,814266,3
-0.3471830189228058,0.0021408376846797153,0.9965457685664939,0.004272496942486662,1731,806831,6,1737,814266,3
-0.3430379629135132,0.0021409435983189076,0.9965457685664939,0.004272707862547654,1731,806791,6,1737,814266,3
-0.33889293670654297,0.002141030984960834,0.9965457685664939,0.004272881887275895,1731,806758,6,1737,814266,3
-0.33474788069725037,0.0021411183787367525,0.9965457685664939,0.004273055926180552,1731,806725,6,1737,814266,3
-0.33060285449028015,0.0021412163741822,0.9965457685664939,0.004273251077570246,1731,806688,6,1737,814266,3
-0.32645779848098755,0.0021412984853807827,0.9965457685664939,0.004273414596512885,1731,806657,6,1737,814266,3
-0.32231277227401733,0.002141420339410794,0.9965457685664939,0.004273657260588165,1731,806611,6,1737,814266,3
-0.31816771626472473,0.002141531609550909,0.9965457685664939,0.004273878847509434,1731,806569,6,1737,814266,3
-0.31402266025543213,0.002141624343501203,0.9965457685664939,0.004274063520830813,1731,806534,6,1737,814266,3
-0.3098776340484619,0.0021417117857248907,0.9965457685664939,0.004274237656009057,1731,806501,6,1737,814266,3
-0.3057325780391693,0.0021405513218832398,0.9959700633275763,0.004271921376892115,1730,806473,7,1737,814266,3
-0.3015875518321991,0.002140625483342098,0.9959700633275763,0.004272069064293405,1730,806445,7,1737,814266,3
-0.2974424958229065,0.0021406943521553577,0.9959700633275763,0.0042722062117384425,1730,806419,7,1737,814266,3
-0.2932974696159363,0.002140787067171216,0.9959700633275763,0.004272390847205227,1730,806384,7,1737,814266,3
-0.2891524136066437,0.0021408638942685483,0.9959700633275763,0.00427254384296796,1730,806355,7,1737,814266,3
-0.28500738739967346,0.0021409857692512367,0.9959700633275763,0.004272786548378811,1730,806309,7,1737,814266,3
-0.28086233139038086,0.0021410626106112547,0.9959700633275763,0.004272939572483751,1730,806280,7,1737,814266,3
-0.27671730518341064,0.0021411580075596493,0.9959700633275763,0.004273129548690829,1730,806244,7,1737,814266,3
-0.27257224917411804,0.002141253413009414,0.9959700633275763,0.00427331954179146,1730,806208,7,1737,814266,3
-0.2684272229671478,0.002141351477470631,0.9959700633275763,0.004273514830084557,1730,806171,7,1737,814266,3
-0.2642821669578552,0.002141457503209092,0.9959700633275763,0.004273725972643213,1730,806131,7,1737,814266,3
-0.260137140750885,0.00214156619048798,0.9959700633275763,0.004273942415419792,1730,806090,7,1737,814266,3
-0.2559920847415924,0.0021416642836009176,0.9959700633275763,0.004274137760648286,1730,806053,7,1737,814266,3
-0.2518470287322998,0.002141757082654491,0.9959700633275763,0.004274322563111113,1730,806018,7,1737,814266,3
-0.2477020025253296,0.0021418419345413486,0.9959700633275763,0.004274491539348176,1730,805986,7,1737,814266,3
-0.243556946516037,0.002141929445091701,0.9959700633275763,0.004274665810086235,1730,805953,7,1737,814266,3
-0.23941192030906677,0.0021420302236750057,0.9959700633275763,0.00427486650308507,1730,805915,7,1737,814266,3
-0.23526686429977417,0.002140890134817882,0.9953943580886586,0.004272590798732308,1729,805879,8,1737,814266,3
-0.23112183809280396,0.00214099882734188,0.9953943580886586,0.004272807251663157,1729,805838,8,1737,814266,3
-0.22697678208351135,0.002141118136719495,0.9953943580886586,0.004273044847199723,1729,805793,8,1737,814266,3
-0.22283175587654114,0.0021412242006632965,0.9953943580886586,0.00427325606541616,1729,805753,8,1737,814266,3
-0.21868669986724854,0.002141311711327898,0.9953943580886586,0.0042734303361649855,1729,805720,8,1737,814266,3
-0.21454167366027832,0.002141423098883215,0.9953943580886586,0.004273652155858536,1729,805678,8,1737,814266,3
-0.21039661765098572,0.002141598159885352,0.9953943580886586,0.00427400077619216,1729,805612,8,1737,814266,3
-0.2062515914440155,0.0021417652902717527,0.9953943580886586,0.0042743336032088405,1729,805549,8,1737,814266,3
-0.2021065354347229,0.002141913872515863,0.9953943580886586,0.004274629492965651,1729,805493,8,1737,814266,3
-0.19796150922775269,0.0021420306301707923,0.9953943580886586,0.004274862006514899,1729,805449,8,1737,814266,3
-0.19381645321846008,0.0021421659788360445,0.9953943580886586,0.004275131542509,1729,805398,8,1737,814266,3
-0.18967139720916748,0.0021423385068309497,0.9953943580886586,0.004275475118045398,1729,805333,8,1737,814266,3
-0.18552637100219727,0.0021424871686208033,0.9953943580886586,0.004275771165870987,1729,805277,8,1737,814266,3
-0.18138131499290466,0.002141462961241751,0.9948186528497409,0.0042737262292527655,1728,805197,9,1737,814266,3
-0.17723628878593445,0.0021417124527937075,0.9948186528497409,0.004274223070910547,1728,805103,9,1737,814266,3
-0.17309123277664185,0.0021420097952322926,0.9948186528497409,0.004274815203301106,1728,804991,9,1737,814266,3
-0.16894620656967163,0.002142493152824979,0.9948186528497409,0.004275777768430013,1728,804809,9,1737,814266,3
-0.16480115056037903,0.0021428916884820813,0.9948186528497409,0.004276571417257748,1728,804659,9,1737,814266,3
-0.1606561243534088,0.0021431813840883667,0.9948186528497409,0.004277148320266332,1728,804550,9,1737,814266,3
-0.1565110683441162,0.002143489770046219,0.9948186528497409,0.004277762443077661,1728,804434,9,1737,814266,3
-0.152366042137146,0.0021437530317109208,0.9948186528497409,0.004278286704629859,1728,804335,9,1737,814266,3
-0.14822101593017578,0.002144066902828357,0.9948186528497409,0.00427891174992138,1728,804217,9,1737,814266,3
-0.1440759301185608,0.0021443436112086626,0.9948186528497409,0.004279462788733719,1728,804113,9,1737,814266,3
-0.13993090391159058,0.0021445831280383146,0.9948186528497409,0.004279939763810732,1728,804023,9,1737,814266,3
-0.13578587770462036,0.0021449052294477615,0.9948186528497409,0.004280581197893894,1728,803902,9,1737,814266,3
-0.13164085149765015,0.002145259386440918,0.9948186528497409,0.004281286467121058,1728,803769,9,1737,814266,3
