Model,Top-1,Top-2,Top-3,Top-4,Top-5
LaTa,86.16557734204792,93.02832244008714,95.2069716775599,96.29629629629629,96.73202614379085
PhilTa,88.23529411764706,93.89978213507625,96.29629629629629,96.73202614379085,97.1677559912854
LaBSE,88.01742919389977,94.00871459694989,95.42483660130719,96.40522875816994,97.05882352941177
Qwen3-0.6B,87.69063180827887,93.79084967320262,95.96949891067538,97.1677559912854,97.1677559912854
KaLM-mini,88.01742919389977,93.4640522875817,95.53376906318083,96.07843137254902,96.51416122004358
mt5-base,88.34422657952071,94.55337690631809,95.9694989106754,96.73202614379086,97.05882352941178
