model,method,repr,pooling,layer,D,n_seeds,dir_acc_at_1_mean,dir_acc_at_1_std,dir_acc_at_2_mean,dir_acc_at_2_std,dir_acc_at_3_mean,dir_acc_at_3_std,dir_acc_at_4_mean,dir_acc_at_4_std,dir_acc_at_5_mean,dir_acc_at_5_std,existing_acc_mean,existing_acc_std,new_acc_mean,new_acc_std,overall_assignment_acc_mean,overall_assignment_acc_std,tau_mean,tau_std
bowphs/LaTa,sif_abtt_fixed,hidden,sif,12,10,5,0.8779379462814181,0.0069792464742683,0.9419463696021928,0.0062453768351215,0.9650309233840928,0.006009595493634,0.9724043593496118,0.0044691322509577,0.9753996372527626,0.0017989486728774,0.8533333333333333,0.0109869607216231,0.9271091483819588,0.0157400218908699,0.8779379462814181,0.0069792464742683,0.422110552763819,6.206335383118183e-17
bowphs/PhilTa,sif_abtt_fixed,hidden,sif,3,10,5,0.8799190995311952,0.0115053366172216,0.9448889279427938,0.0058508586812254,0.9630921758718636,0.0063709950717688,0.9700116007265792,0.0054636999629983,0.973979174689745,0.0063954264194361,0.8637037037037038,0.0071242163191375,0.9122565699823912,0.0293321451507612,0.8799190995311952,0.0115053366172216,0.3969849246231156,0.0
sentence-transformers/LaBSE,sif_abtt_fixed,hidden,sif,12,10,5,0.8848009825282152,0.0130252664999175,0.9383899868868572,0.0103804218496838,0.9522371078731828,0.0060767719541537,0.9585986528312191,0.0069760800259464,0.9625599680611584,0.0045831922199412,0.8651851851851852,0.0121716123890037,0.923761651706451,0.0233975908311097,0.8848009825282152,0.0130252664999175,0.4371859296482412,6.206335383118183e-17
Qwen/Qwen3-Embedding-0.6B,sif_abtt_fixed,hidden,sif,5,10,5,0.8783893376999258,0.0107454517944088,0.9335218337281284,0.0072520491690736,0.9542089685720118,0.008184590102937,0.9601257949701923,0.0047263056760732,0.9640957956024516,0.0026874916023178,0.8533333333333333,0.0127226400276426,0.928255207762507,0.010474731145747,0.8783893376999258,0.0107454517944088,0.3668341708542713,0.0
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,sif_abtt_fixed,hidden,sif,23,10,5,0.8621898812888851,0.0068248546416002,0.9428940148502872,0.0058399734052281,0.9586837154129756,0.0025383055959489,0.962618560310529,0.0031151859410126,0.9665639101308676,0.0058111668995473,0.8185185185185185,0.0086859551107841,0.9485667259412696,0.016013865333658,0.8621898812888851,0.0068248546416002,0.4371859296482412,6.206335383118183e-17
google/mt5-base,sif_abtt_fixed,hidden,sif,1,10,5,0.870122823648346,0.0054748957445815,0.9384615107281068,0.00471893155999,0.9556645868697352,0.0052078806873094,0.964043462086308,0.0054292322533005,0.965028689738202,0.0044433968298768,0.834074074074074,0.0115351196314054,0.9419023357298903,0.0162481854628692,0.870122823648346,0.0054748957445815,0.3366834170854271,0.0
