model,repr,pooling,layer,method,D,sif_a,tau,aucroc,spearman,same_avg,diff_avg,gap,dir_acc_at_1,dir_acc_at_3,existing_acc,new_acc,overall_assignment_acc,train_aucroc,train_dir_acc_at_1,n_train,n_test,n_existing,n_new
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,hidden,mean,2,abtt_optimal,10,0.001,0.4120603015075377,0.9850101805480674,0.0635999983214605,0.5721113085746765,-6.859401037218049e-05,0.5721799025850487,0.8801742919389978,0.9553376906318084,0.9085271317829458,0.9010989010989012,0.906318082788671,0.985356319973745,0.8500635324015248,787,918,645,273
Qwen/Qwen3-Embedding-0.6B,hidden,mean,23,abtt_optimal,10,0.001,0.4371859296482412,0.9809285742794048,0.0630647721298316,0.5915130972862244,9.711776328913402e-06,0.5915033855098955,0.8769063180827886,0.9596949891067538,0.9100775193798448,0.8864468864468864,0.9030501089324618,0.9854825044412816,0.8627700127064803,787,918,645,273
bowphs/LaTa,hidden,mean,1,abtt_optimal,10,0.001,0.4221105527638191,0.9816066610038212,0.0631536904995162,0.5826384425163269,8.62089145812206e-05,0.5825522336017457,0.8616557734204793,0.9520697167755992,0.916279069767442,0.8754578754578755,0.9041394335511984,0.9791002769493036,0.8233799237611181,787,918,645,273
bowphs/PhilTa,hidden,mean,1,abtt_optimal,10,0.001,0.4271356783919598,0.9863198107358102,0.0637717317841437,0.5877057313919067,0.0004061881627421,0.5872995432291646,0.8823529411764706,0.9629629629629628,0.9054263565891472,0.9230769230769232,0.9106753812636166,0.9882999841501336,0.8398983481575604,787,918,645,273
google/mt5-base,hidden,mean,1,abtt_optimal,10,0.001,0.4070351758793969,0.985084691914928,0.0636097690912245,0.5668290853500366,-1.0930227745120646e-06,0.5668301783728111,0.883442265795207,0.9596949891067538,0.8837209302325582,0.9487179487179488,0.9030501089324618,0.981186270786125,0.8398983481575604,787,918,645,273
sentence-transformers/LaBSE,hidden,mean,11,abtt_optimal,10,0.001,0.4522613065326633,0.9851747255804914,0.0636215753196467,0.6217349171638489,-0.0001680247951298,0.6219029419589788,0.8801742919389978,0.954248366013072,0.916279069767442,0.8571428571428571,0.8986928104575164,0.9848885322074606,0.8894536213468869,787,918,645,273
