model,method,variant,n,n_q_mean,full_cos_mean,suff@0.10_raw_mean,suff@0.10_raw_std,suff@0.10_raw_se,suff@0.10_raw_n,suff@0.10_ratio_mean,suff@0.10_ratio_std,suff@0.10_ratio_se,suff@0.10_ratio_n,suff@0.25_raw_mean,suff@0.25_raw_std,suff@0.25_raw_se,suff@0.25_raw_n,suff@0.25_ratio_mean,suff@0.25_ratio_std,suff@0.25_ratio_se,suff@0.25_ratio_n,suff@0.50_raw_mean,suff@0.50_raw_std,suff@0.50_raw_se,suff@0.50_raw_n,suff@0.50_ratio_mean,suff@0.50_ratio_std,suff@0.50_ratio_se,suff@0.50_ratio_n,comp@0.10_drop_mean,comp@0.10_drop_std,comp@0.10_drop_se,comp@0.10_drop_n,comp@0.10_ratio_mean,comp@0.10_ratio_std,comp@0.10_ratio_se,comp@0.10_ratio_n,comp@0.25_drop_mean,comp@0.25_drop_std,comp@0.25_drop_se,comp@0.25_drop_n,comp@0.25_ratio_mean,comp@0.25_ratio_std,comp@0.25_ratio_se,comp@0.25_ratio_n,comp@0.50_drop_mean,comp@0.50_drop_std,comp@0.50_drop_se,comp@0.50_drop_n,comp@0.50_ratio_mean,comp@0.50_ratio_std,comp@0.50_ratio_se,comp@0.50_ratio_n,compactness@0.80_mean,compactness@0.80_std,compactness@0.80_se,compactness@0.80_n,loo_n_used_mean,loo_n_used_std,loo_n_used_se,loo_n_used_n,loo_n_total_mean,loo_n_total_std,loo_n_total_se,loo_n_total_n,loo_rho_mean,loo_rho_std,loo_rho_se,loo_rho_n,loo_p_mean,loo_p_std,loo_p_se,loo_p_n
bowphs/LaTa,attention_standalone,abtt,2,69.0,0.687871128320694,0.18728306144475937,0.35522030898859175,0.25117868930101395,2,0.21420824545434797,0.4626439681891187,0.3271386871815792,2,0.4138544350862503,0.23802076555657486,0.1683060973882675,2,0.576375919736734,0.20136811134519364,0.14238875704691417,2,0.5645534098148346,0.2372852819766355,0.167786031961441,2,0.8027189523670071,0.14349199120128528,0.10146416002438922,2,0.16178107261657715,0.023484308283967175,0.0166059136390686,2,0.23841554827582478,0.025696263199967134,0.018170001959851093,2,0.3714493066072464,0.26023573720393944,0.18401445448398587,2,0.5085398488226696,0.25068865954487585,0.17726365113074743,2,0.5747282914817333,0.3873008516163484,0.2738630585372448,2,0.7897344712842902,0.3648375344450489,0.25797909463747465,2,0.4457070707070707,0.11606550701294341,0.08207070707070707,2,69.0,4.242640687119285,2.9999999999999996,2,69.0,4.242640687119285,2.9999999999999996,2,0.3962523744509053,0.30526495712043467,0.21585492123848,2,0.06470863170392084,0.0915117575946773,0.06470858435349586,2
bowphs/LaTa,attention_standalone,baseline,2,69.0,0.937414288520813,0.3797116205096245,0.8753828048500373,0.6189891174435616,2,0.3627807646592027,0.8997299239549182,0.6362051304649794,2,0.10594001412391663,1.2628039172302554,0.8929372131824492,2,0.049927127934675464,1.34242144495138,0.9492353069353644,2,0.942578136920929,0.08032582411557845,0.05679893493652343,2,1.0059248045966744,0.008856346201843874,0.006262382455859528,2,-0.0005807280540466309,0.003056910922495144,0.0021615624427795406,2,-0.0007761760837799885,0.0033339545142963317,0.0023574618452264383,2,0.5689167305827141,0.8207912353059074,0.5803870484232903,2,0.5682623554742339,0.8221807477711306,0.5813695821099928,2,1.1828801035881042,0.044139593655337615,0.031211405992507935,2,1.2652297348663186,0.07183012430117362,0.050791567986832487,2,0.25441919191919193,0.26159379657532633,0.1849747474747475,2,65.5,0.7071067811865476,0.5,2,69.0,4.242640687119285,2.9999999999999996,2,0.14272885979375316,0.06607821053051458,0.046724350754799186,2,0.28692488386266934,0.22099362444099774,0.15626609044122264,2
bowphs/LaTa,attention_weighted,abtt,2,69.0,0.687871128320694,0.19590577483177185,0.0872882727553356,0.061722129583358765,2,0.2776196467374161,0.05722010328621275,0.040460723053875686,2,0.2907077670097351,0.04742173733627497,0.03353223204612731,2,0.42743016092645725,0.038335296934876806,0.027107148421451257,2,0.5020721107721329,0.11377792529264484,0.08045314252376556,2,0.7321964909031657,0.018358629549205994,0.012981511447535288,2,0.1496029943227768,0.03289159023872,0.023257866501808163,2,0.21836384063973113,0.006987808465869654,0.004941126751849198,2,0.22503623366355896,0.03604883173409533,0.025490373373031616,2,0.3309970962466736,0.03066629535998825,0.02168434540291725,2,0.4076124131679535,0.14836912934441515,0.10491281747817993,2,0.5838934486745702,0.06914936050874808,0.04889598173044901,2,0.6553030303030303,0.10178052153442729,0.07196969696969696,2,69.0,4.242640687119285,2.9999999999999996,2,69.0,4.242640687119285,2.9999999999999996,2,0.2899182039769379,0.1766687491764728,0.12492367056642918,2,0.08328760773342266,0.11703173947694205,0.0827539365982031,2
bowphs/LaTa,attention_weighted,baseline,2,69.0,0.937414288520813,-0.6228574216365814,0.13704852798123754,0.09690794348716736,2,-0.674290730174167,0.2095738332423214,0.14819107864490413,2,-0.593571126461029,0.05258350402025268,0.03718215227127075,2,-0.6386574018664606,0.11612045754415565,0.08210956296395705,2,-0.44956590235233307,0.14429005197840955,0.10202847421169281,2,-0.4889740477184668,0.19988125078199545,0.1413373878599979,2,-0.005030333995819092,0.00723779400107881,0.005117893218994141,2,-0.005754439284322475,0.008261868876886118,0.0058420235081202586,2,-0.006494402885437012,0.009650701078327493,0.006824076175689696,2,-0.007444684128907343,0.010994734822253995,0.00777445155016367,2,-0.008532315492630005,0.012810661045431774,0.009058505296707153,2,-0.009787417850788122,0.014585856296779002,0.010313757896864935,2,0.9501262626262627,0.02767715936462497,0.019570707070707072,2,65.5,0.7071067811865476,0.5,2,69.0,4.242640687119285,2.9999999999999996,2,-0.25580214422734127,0.09757123232413437,0.06899328002512346,2,0.07200612417812398,0.09080723133574911,0.06421040905828375,2
bowphs/LaTa,bertscore,abtt,2,69.0,0.687871128320694,0.2514684982597828,0.1973407485460494,0.13954098150134084,2,0.34029147909563856,0.20148087483476768,0.14246849287506222,2,0.42116253077983856,0.23850861532808848,0.1686510592699051,2,0.5872537373348333,0.19934724576231597,0.14095978928939487,2,0.6026715636253357,0.14275120731900404,0.10094034671783446,2,0.8777423444874819,0.012767078005394445,0.009027687433552032,2,0.1301540732383728,0.012343547523385534,0.008728206157684324,2,0.19769093465351656,0.06756044851544964,0.04777245128527905,2,0.2809036523103714,0.08409596508199921,0.05946482717990875,2,0.43748686803058706,0.23205456409849262,0.16408735587933249,2,0.498762845993042,0.10254385140946008,0.07250945270061493,2,0.7293452478935275,0.033974687934635435,0.024023732227277494,2,0.4255050505050505,0.066068057838137,0.046717171717171706,2,69.0,4.242640687119285,2.9999999999999996,2,69.0,4.242640687119285,2.9999999999999996,2,0.286970410109634,0.034707570019297564,0.02454195811915222,2,0.018420784579005728,0.010644444962470965,0.007526759214930205,2
bowphs/LaTa,bertscore,baseline,2,69.0,0.937414288520813,0.9456304013729095,0.07445295580352494,0.0526461899280548,2,1.0094910190253135,0.015456493912872184,0.010929391659160514,2,0.9431531727313995,0.07887896495304797,0.05577585101127624,2,1.0066138088640675,0.010464562022669837,0.007399562768377055,2,0.9429689049720764,0.0797847428743956,0.056416332721710205,2,1.0063707569658067,0.009475466556604592,0.006700166657081452,2,1.2617144286632538,0.09396951762182805,0.06644648313522339,2,1.3471913307782604,0.02637676819416246,0.01865119165587792,2,1.1716798022389412,0.02825430947432399,0.01997881382703781,2,1.256873971700902,0.14827200506277877,0.10484414024001697,2,1.1375500485301018,0.04357041100291011,0.030808933079242703,2,1.22107527450176,0.16124601876933403,0.11401815331112941,2,0.01452020202020202,0.0008928115924072578,0.0006313131313131318,2,65.5,0.7071067811865476,0.5,2,69.0,4.242640687119285,2.9999999999999996,2,0.25875213697536287,0.31252579779280854,0.22098911091503065,2,0.38172060946872377,0.5397600344033587,0.38166798054009915,2
bowphs/LaTa,dla,abtt,2,69.0,0.687871128320694,0.1686328537762165,0.10134133333281543,0.07165914401412009,2,0.23403495441289607,0.08858864701720291,0.0626416330420056,2,0.38012097775936127,0.2009887321404174,0.14212049543857572,2,0.5327162603293971,0.15848996905526835,0.11206933186902632,2,0.5984527468681335,0.13850297357649996,0.09793639183044432,2,0.8722099600151056,0.017554491737520925,0.012412900147884265,2,0.10632577538490295,0.014292544239074808,0.01010635495185852,2,0.16229093448421494,0.06150923625627716,0.04349359806241903,2,0.27264535427093506,0.035536283909354344,0.02512794733047485,2,0.40255661626518013,0.04937121333539649,0.034910719744866564,2,0.6347129222704098,0.2522828730209436,0.1783909302903339,2,0.9052058769816356,0.1395730349917244,0.09869303951343561,2,0.3970959595959596,0.04731901439758463,0.03345959595959597,2,69.0,4.242640687119285,2.9999999999999996,2,69.0,4.242640687119285,2.9999999999999996,2,0.34949937059560665,0.12718424059651445,0.08993283898585676,2,0.013949941926352823,0.019412834111558103,0.01372694664233226,2
bowphs/LaTa,dla,baseline,2,69.0,0.937414288520813,0.9456198811531067,0.07456089388256135,0.05272251367568969,2,1.0094743115253044,0.015339779126935817,0.010846861842560174,2,0.9443828165531158,0.07704389116888365,0.054478257894515984,2,1.00802377174446,0.012554672902942904,0.008877494345249926,2,0.9412059485912323,0.08217619720575224,0.058107346296310425,2,1.004361335338893,0.0067354867819481344,0.004762708378107883,2,1.1863588392734528,0.010826893179721013,0.0076557695865631095,2,1.2717249734472587,0.1310768802155029,0.0926853508571589,2,1.1689547896385193,0.007060229328302413,0.004992336034774779,2,1.252886921845082,0.12528818356155627,0.08859212419892136,2,1.1570885255932808,0.0023436914152816677,0.001657240092754364,2,1.2399347602412578,0.11903939946055744,0.08417356658693441,2,0.01452020202020202,0.0008928115924072578,0.0006313131313131318,2,65.5,0.7071067811865476,0.5,2,69.0,4.242640687119285,2.9999999999999996,2,0.11653164012621203,0.45048333812955205,0.31853982320295865,2,0.05205909746093107,0.07320891795203918,0.05176652232721648,2
bowphs/LaTa,ig,abtt,2,69.0,0.687871128320694,0.25235678628087044,0.18237200026946584,0.12895647808909416,2,0.34444438478226125,0.17867761319294442,0.12634415193495793,2,0.4271638095378876,0.16266504533137083,0.11502155661582945,2,0.6105479692178738,0.08324252855745937,0.05886135642609435,2,0.6238351464271545,0.13861803447293472,0.09801775217056274,2,0.9102881669638233,0.026943976176725167,0.019052268266691152,2,0.22021549940109253,0.05756888614321229,0.04070734977722168,2,0.31970742781640804,0.003452161093954059,0.0024410465192832853,2,0.41559673100709915,0.10586060818973701,0.07485475391149521,2,0.603885212411402,0.0023346702729611633,0.0016508611818454864,2,0.5949450582265854,0.13194502931532615,0.09329922497272491,2,0.8681800673369404,0.026076762740727857,0.018439055765361367,2,0.36174242424242425,0.01874904344055238,0.013257575757575744,2,69.0,4.242640687119285,2.9999999999999996,2,69.0,4.242640687119285,2.9999999999999996,2,0.5483565816348652,0.12623204297858684,0.08925953359319046,2,2.4936678293146107e-05,3.525370599782899e-05,2.492813457302174e-05,2
bowphs/LaTa,ig,baseline,2,69.0,0.937414288520813,0.3438984677195549,0.7765911819963809,0.5491328909993172,2,0.40759063138917845,0.8667483768788892,0.6128836548734958,2,0.13119298219680786,1.0732694130362195,0.7589160799980162,2,0.19461631177511407,1.1632170190886582,0.8225186421891918,2,0.9357756972312927,0.0685161085754319,0.04844820499420165,2,0.9992306784621656,0.020825359056864015,0.014725752609753227,2,0.5890898406505585,0.8331479853295889,0.5891245901584625,2,0.6731602856635099,0.9520415628934205,0.6731950450933766,2,0.5826756358146667,0.8238720118813717,0.5825654864311217,2,0.6658204025409844,0.9414564241480011,0.66571022170669,2,0.5499978363513947,0.7772263666135764,0.5495820343494414,2,0.628457446109613,0.8881848429322248,0.6280415253844847,2,0.25126262626262624,0.3124840573425399,0.22095959595959594,2,65.5,0.7071067811865476,0.5,2,69.0,4.242640687119285,2.9999999999999996,2,-0.0005686186573032603,0.19325693326872476,0.13665328802563137,2,0.2758167206623429,0.00015790588586403565,0.0001116563226837286,2
