group,diagnostic,retrieval_target,n,pearson,spearman
main_all,pc10_cumulative_variance_ratio,aucroc__abtt_optimal,36,0.07090993072432832,0.03938223938223938
main_all,pc10_cumulative_variance_ratio,aucroc_gain__abtt_optimal_minus_baseline,36,0.9028111230244505,0.5052767052767053
main_all,pc10_cumulative_variance_ratio,gap__baseline,36,-0.3657782154922953,-0.04221364221364222
main_all,pc10_cumulative_variance_ratio,gap__abtt_optimal,36,-0.04065584339337611,-0.19742599742599745
main_all,pc10_cumulative_variance_ratio,gap_gain__abtt_optimal_minus_baseline,36,0.2879496792879436,-0.033204633204633204
main_all,pc10_cumulative_variance_ratio,dir_acc_at_1__baseline,36,-0.902640449230823,-0.6517765406553355
main_all,pc10_cumulative_variance_ratio,dir_acc_at_1__abtt_optimal,36,-0.2785528320519802,-0.4643018561988895
main_all,pc10_cumulative_variance_ratio,dir_acc_at_1_gain__abtt_optimal_minus_baseline,36,0.788323528871718,0.4304286301585372
main_all,pc10_cumulative_variance_ratio,overall_assignment_acc__baseline,36,-0.5812885231206039,0.2063594301146559
main_all,pc10_cumulative_variance_ratio,overall_assignment_acc__abtt_optimal,36,-0.29194324515006953,-0.47148194581749986
main_all,pc10_cumulative_variance_ratio,overall_assignment_acc_gain__abtt_optimal_minus_baseline,36,0.40709903152287047,-0.17065637065637068
main_all,pc10_cumulative_variance_ratio,train_dir_acc_at_1__abtt_optimal,36,-0.3149677858462904,-0.43570105592529584
main_all,effective_rank_entropy,aucroc__baseline,36,0.8782268795482978,0.5315315315315315
main_all,effective_rank_entropy,aucroc__abtt_optimal,36,-0.038523430886211844,-0.0064350064350064354
main_all,effective_rank_entropy,aucroc_gain__abtt_optimal_minus_baseline,36,-0.8816406573522562,-0.522007722007722
main_all,effective_rank_entropy,gap__baseline,36,0.4388840912996826,0.06460746460746461
main_all,effective_rank_entropy,gap__abtt_optimal,36,0.0452455766506144,0.18790218790218793
main_all,effective_rank_entropy,gap_gain__abtt_optimal_minus_baseline,36,-0.3464471287813275,0.02084942084942085
main_all,effective_rank_entropy,dir_acc_at_1__baseline,36,0.9264911751183305,0.6376158810716723
main_all,effective_rank_entropy,dir_acc_at_1__abtt_optimal,36,0.26005350155699253,0.4256744139194477
main_all,effective_rank_entropy,dir_acc_at_1_gain__abtt_optimal_minus_baseline,36,-0.818224465537452,-0.43634959815712954
main_all,effective_rank_entropy,overall_assignment_acc__baseline,36,0.7055838583532092,-0.2246395543044757
main_all,effective_rank_entropy,overall_assignment_acc__abtt_optimal,36,0.2775809118469602,0.430281994244152
main_all,effective_rank_entropy,overall_assignment_acc_gain__abtt_optimal_minus_baseline,36,-0.5278579335999267,0.1745173745173745
