model,model_display,repr,pooling,layer,split,D,embedding_path,split_csv,token_filter,view,n,dim,anisotropy_mean_cosine,cosine_mean,cosine_std,cosine_p05,cosine_p50,cosine_p95,cosine_iqr,pc1_variance_ratio,pc10_cumulative_variance_ratio,effective_rank_entropy,delta_anisotropy_mean_cosine,delta_pc1_variance_ratio,delta_pc10_cumulative_variance_ratio,delta_effective_rank_entropy,delta_cosine_std,delta_cosine_iqr
bowphs/LaTa,LaTa,hidden,mean,3,test,10,/projects/beto/irowerojas/localLatin/.claude/worktrees/agent-a470f047721b20d68/runs/active/resubmit_bases/phase9_bases/bowphs_LaTa/hidden_mean_tokempty/hidden_layer3_embeddings.npy,/projects/beto/irowerojas/localLatin/.claude/worktrees/agent-a470f047721b20d68/runs/active/resubmit/data/phase_resubmit_split.csv,tokenizer_empty,raw,858,768,0.26732555969061655,0.26732555969061655,0.5641162152026341,-0.38315957783229115,0.2890292135595932,0.9886446841583707,1.1383958477556944,0.9352665218870635,0.9745490200773824,1.5868869787719395,-0.2655287565236449,-0.89957403054521,-0.7184813104567858,154.85702981653725,-0.461699396331581,-1.007348578068111
bowphs/LaTa,LaTa,hidden,mean,3,test,10,/projects/beto/irowerojas/localLatin/.claude/worktrees/agent-a470f047721b20d68/runs/active/resubmit_bases/phase9_bases/bowphs_LaTa/hidden_mean_tokempty/hidden_layer3_embeddings.npy,/projects/beto/irowerojas/localLatin/.claude/worktrees/agent-a470f047721b20d68/runs/active/resubmit/data/phase_resubmit_split.csv,tokenizer_empty,abtt_d10,858,768,0.0017968031669716895,0.0017968031669716895,0.10241681887105308,-0.15724545746644542,-0.001550151241400996,0.1686272522498181,0.1310472696875833,0.03569249134185346,0.2560677096205966,156.44391679530918,-0.2655287565236449,-0.89957403054521,-0.7184813104567858,154.85702981653725,-0.461699396331581,-1.007348578068111
bowphs/LaTa,LaTa,hidden,mean,4,train,10,/projects/beto/irowerojas/localLatin/.claude/worktrees/agent-a470f047721b20d68/runs/active/resubmit_bases/phase9_bases/bowphs_LaTa/hidden_mean_tokempty/hidden_layer4_embeddings.npy,/projects/beto/irowerojas/localLatin/.claude/worktrees/agent-a470f047721b20d68/runs/active/resubmit/data/phase_resubmit_split.csv,tokenizer_empty,raw,847,768,0.22556930271450873,0.22556930271450873,0.5993595437234296,-0.4666550471511428,0.236298130812075,0.9924253274069998,1.1984839968804994,0.9517941965192273,0.9870878556022972,1.3825527349714137,-0.2265495235684081,-0.9174566463040452,-0.7386903453238787,157.38594235231662,-0.4975932069098924,-1.0674719794895835
bowphs/LaTa,LaTa,hidden,mean,4,train,10,/projects/beto/irowerojas/localLatin/.claude/worktrees/agent-a470f047721b20d68/runs/active/resubmit_bases/phase9_bases/bowphs_LaTa/hidden_mean_tokempty/hidden_layer4_embeddings.npy,/projects/beto/irowerojas/localLatin/.claude/worktrees/agent-a470f047721b20d68/runs/active/resubmit/data/phase_resubmit_split.csv,tokenizer_empty,abtt_d10,847,768,-0.000980220853899367,-0.000980220853899367,0.10176633681353721,-0.15909692184410912,-0.004276173751966879,0.16485827901335745,0.13101201739091584,0.034337550215182006,0.24839751027841855,158.76849508728804,-0.2265495235684081,-0.9174566463040452,-0.7386903453238787,157.38594235231662,-0.4975932069098924,-1.0674719794895835
bowphs/LaTa,LaTa,hidden,mean,4,test,10,/projects/beto/irowerojas/localLatin/.claude/worktrees/agent-a470f047721b20d68/runs/active/resubmit_bases/phase9_bases/bowphs_LaTa/hidden_mean_tokempty/hidden_layer4_embeddings.npy,/projects/beto/irowerojas/localLatin/.claude/worktrees/agent-a470f047721b20d68/runs/active/resubmit/data/phase_resubmit_split.csv,tokenizer_empty,raw,858,768,0.23365829521944068,0.23365829521944068,0.6082459825862823,-0.4590914261259257,0.2459894243940086,0.9927017288829058,1.2519725434737818,0.954959024576661,0.9866847423480788,1.3690667091412179,-0.2318820096001173,-0.9193005020301501,-0.733931866458649,157.3851352587011,-0.506338378362619,-1.1215614760147048
bowphs/LaTa,LaTa,hidden,mean,4,test,10,/projects/beto/irowerojas/localLatin/.claude/worktrees/agent-a470f047721b20d68/runs/active/resubmit_bases/phase9_bases/bowphs_LaTa/hidden_mean_tokempty/hidden_layer4_embeddings.npy,/projects/beto/irowerojas/localLatin/.claude/worktrees/agent-a470f047721b20d68/runs/active/resubmit/data/phase_resubmit_split.csv,tokenizer_empty,abtt_d10,858,768,0.0017762856193233889,0.0017762856193233889,0.10190760422366332,-0.155667742398793,-0.001947461929486305,0.16812147515067866,0.130411067459077,0.03565852254651093,0.25275287588942974,158.7542019678423,-0.2318820096001173,-0.9193005020301501,-0.733931866458649,157.3851352587011,-0.506338378362619,-1.1215614760147048
bowphs/LaTa,LaTa,hidden,mean,5,train,10,/projects/beto/irowerojas/localLatin/.claude/worktrees/agent-a470f047721b20d68/runs/active/resubmit_bases/phase9_bases/bowphs_LaTa/hidden_mean_tokempty/hidden_layer5_embeddings.npy,/projects/beto/irowerojas/localLatin/.claude/worktrees/agent-a470f047721b20d68/runs/active/resubmit/data/phase_resubmit_split.csv,tokenizer_empty,raw,847,768,0.22683574580458749,0.22683574580458749,0.6049560007688699,-0.47364749554803864,0.23826541377860622,0.9924620936512112,1.2334810473193645,0.9427380851757396,0.9880518270582566,1.4138705598179016,-0.22784991235437677,-0.9091180783612413,-0.7404162365670812,157.84078405151078,-0.5029814179421815,-1.1025805425863013
bowphs/LaTa,LaTa,hidden,mean,5,train,10,/projects/beto/irowerojas/localLatin/.claude/worktrees/agent-a470f047721b20d68/runs/active/resubmit_bases/phase9_bases/bowphs_LaTa/hidden_mean_tokempty/hidden_layer5_embeddings.npy,/projects/beto/irowerojas/localLatin/.claude/worktrees/agent-a470f047721b20d68/runs/active/resubmit/data/phase_resubmit_split.csv,tokenizer_empty,abtt_d10,847,768,-0.0010141665497892796,-0.0010141665497892796,0.10197458282668834,-0.15867719787159568,-0.004502244351351404,0.1649292757150781,0.13090050473306308,0.03362000681449843,0.24763559049117537,159.25465461132868,-0.22784991235437677,-0.9091180783612413,-0.7404162365670812,157.84078405151078,-0.5029814179421815,-1.1025805425863013
bowphs/LaTa,LaTa,hidden,mean,5,test,10,/projects/beto/irowerojas/localLatin/.claude/worktrees/agent-a470f047721b20d68/runs/active/resubmit_bases/phase9_bases/bowphs_LaTa/hidden_mean_tokempty/hidden_layer5_embeddings.npy,/projects/beto/irowerojas/localLatin/.claude/worktrees/agent-a470f047721b20d68/runs/active/resubmit/data/phase_resubmit_split.csv,tokenizer_empty,raw,858,768,0.23264240865997415,0.23264240865997415,0.6130276280375775,-0.47035925671963474,0.25732256084188376,0.9925080880179026,1.27324067319522,0.9485658352268473,0.9875536233741036,1.391981014599612,-0.23080708434577799,-0.9126493697966096,-0.735171068640754,157.57898505037625,-0.51079757388966,-1.1428512029710358
bowphs/LaTa,LaTa,hidden,mean,5,test,10,/projects/beto/irowerojas/localLatin/.claude/worktrees/agent-a470f047721b20d68/runs/active/resubmit_bases/phase9_bases/bowphs_LaTa/hidden_mean_tokempty/hidden_layer5_embeddings.npy,/projects/beto/irowerojas/localLatin/.claude/worktrees/agent-a470f047721b20d68/runs/active/resubmit/data/phase_resubmit_split.csv,tokenizer_empty,abtt_d10,858,768,0.0018353243141961627,0.0018353243141961627,0.10223005414791757,-0.15557735390533672,-0.0020867786179836825,0.16881480401980417,0.13038947022418418,0.035916465430237784,0.25238255473334953,158.97096606497587,-0.23080708434577799,-0.9126493697966096,-0.735171068640754,157.57898505037625,-0.51079757388966,-1.1428512029710358
bowphs/LaTa,LaTa,hidden,mean,6,train,10,/projects/beto/irowerojas/localLatin/.claude/worktrees/agent-a470f047721b20d68/runs/active/resubmit_bases/phase9_bases/bowphs_LaTa/hidden_mean_tokempty/hidden_layer6_embeddings.npy,/projects/beto/irowerojas/localLatin/.claude/worktrees/agent-a470f047721b20d68/runs/active/resubmit/data/phase_resubmit_split.csv,tokenizer_empty,raw,847,768,0.22558282858346368,0.22558282858346368,0.6070862749704443,-0.48234187089743885,0.22689651014298085,0.9924928976894253,1.2470058419885253,0.9344018945158543,0.9887167178267635,1.4410428412018355,-0.22664627939385054,-0.9013168692788306,-0.7440321700983397,161.32584675286347,-0.5064757667687373,-1.117940497904927
bowphs/LaTa,LaTa,hidden,mean,6,train,10,/projects/beto/irowerojas/localLatin/.claude/worktrees/agent-a470f047721b20d68/runs/active/resubmit_bases/phase9_bases/bowphs_LaTa/hidden_mean_tokempty/hidden_layer6_embeddings.npy,/projects/beto/irowerojas/localLatin/.claude/worktrees/agent-a470f047721b20d68/runs/active/resubmit/data/phase_resubmit_split.csv,tokenizer_empty,abtt_d10,847,768,-0.001063450810386853,-0.001063450810386853,0.10061050820170707,-0.1556818995100162,-0.005003590355035323,0.16271764522269916,0.12906534408359827,0.03308502523702375,0.2446845477284238,162.7668895940653,-0.22664627939385054,-0.9013168692788306,-0.7440321700983397,161.32584675286347,-0.5064757667687373,-1.117940497904927
bowphs/LaTa,LaTa,hidden,mean,6,test,10,/projects/beto/irowerojas/localLatin/.claude/worktrees/agent-a470f047721b20d68/runs/active/resubmit_bases/phase9_bases/bowphs_LaTa/hidden_mean_tokempty/hidden_layer6_embeddings.npy,/projects/beto/irowerojas/localLatin/.claude/worktrees/agent-a470f047721b20d68/runs/active/resubmit/data/phase_resubmit_split.csv,tokenizer_empty,raw,858,768,0.2308660150246538,0.2308660150246538,0.6144288215674487,-0.4802840953000695,0.2553979158047129,0.9924988841281127,1.282619873555487,0.9423804354392024,0.9881295042739134,1.41315348819466,-0.22922318477640113,-0.9087980506568942,-0.7377415971601873,160.66186221303448,-0.5132403404659254,-1.1536146854164642
bowphs/LaTa,LaTa,hidden,mean,6,test,10,/projects/beto/irowerojas/localLatin/.claude/worktrees/agent-a470f047721b20d68/runs/active/resubmit_bases/phase9_bases/bowphs_LaTa/hidden_mean_tokempty/hidden_layer6_embeddings.npy,/projects/beto/irowerojas/localLatin/.claude/worktrees/agent-a470f047721b20d68/runs/active/resubmit/data/phase_resubmit_split.csv,tokenizer_empty,abtt_d10,858,768,0.0016428302482526475,0.0016428302482526475,0.1011884811015233,-0.1530297130840833,-0.002538177355572064,0.16622708727825614,0.12900518813902284,0.03358238478230808,0.25038790711372616,162.07501570122915,-0.22922318477640113,-0.9087980506568942,-0.7377415971601873,160.66186221303448,-0.5132403404659254,-1.1536146854164642
bowphs/LaTa,LaTa,hidden,mean,7,train,10,/projects/beto/irowerojas/localLatin/.claude/worktrees/agent-a470f047721b20d68/runs/active/resubmit_bases/phase9_bases/bowphs_LaTa/hidden_mean_tokempty/hidden_layer7_embeddings.npy,/projects/beto/irowerojas/localLatin/.claude/worktrees/agent-a470f047721b20d68/runs/active/resubmit/data/phase_resubmit_split.csv,tokenizer_empty,raw,847,768,0.2283070252662696,0.2283070252662696,0.6132799415900828,-0.4857141209383944,0.2293029726905938,0.992532458210031,1.2555363650313234,0.9365645865868866,0.9887346364671158,1.4325168556223946,-0.22937650284471645,-0.9030897418740662,-0.743345509898161,164.64958209410617,-0.513019999792171,-1.1271788849685025
bowphs/LaTa,LaTa,hidden,mean,7,train,10,/projects/beto/irowerojas/localLatin/.claude/worktrees/agent-a470f047721b20d68/runs/active/resubmit_bases/phase9_bases/bowphs_LaTa/hidden_mean_tokempty/hidden_layer7_embeddings.npy,/projects/beto/irowerojas/localLatin/.claude/worktrees/agent-a470f047721b20d68/runs/active/resubmit/data/phase_resubmit_split.csv,tokenizer_empty,abtt_d10,847,768,-0.0010694775784468595,-0.0010694775784468595,0.10025994179791174,-0.1546837693948594,-0.005197676076545722,0.16257350479343133,0.12835748006282088,0.03347484471282036,0.24538912656895487,166.08209894972856,-0.22937650284471645,-0.9030897418740662,-0.743345509898161,164.64958209410617,-0.513019999792171,-1.1271788849685025
bowphs/LaTa,LaTa,hidden,mean,7,test,10,/projects/beto/irowerojas/localLatin/.claude/worktrees/agent-a470f047721b20d68/runs/active/resubmit_bases/phase9_bases/bowphs_LaTa/hidden_mean_tokempty/hidden_layer7_embeddings.npy,/projects/beto/irowerojas/localLatin/.claude/worktrees/agent-a470f047721b20d68/runs/active/resubmit/data/phase_resubmit_split.csv,tokenizer_empty,raw,858,768,0.2332577270973677,0.2332577270973677,0.6212593310262087,-0.48444371561116095,0.26692737510641784,0.9924288033840424,1.287140970603822,0.9445762178316337,0.9881004433475206,1.4042930301608016,-0.2317892763261468,-0.9084796662105873,-0.7370255648718056,163.68983742384688,-0.5200511260508177,-1.158907991617124
