model,language,layer,method,D,D_source,sif_a,spearman_train,spearman_test,n_train_pairs,n_test_pairs
Qwen/Qwen3-Embedding-8B,english,14,sif_abtt_optimal,10,train_sweep,0.001,0.6417169445398077,0.6784070726596791,3564,3564
Qwen/Qwen3-Embedding-8B,english,14,whitening,0,none,0.001,0.6535789630583612,0.6602617505725973,3564,3564
Qwen/Qwen3-Embedding-8B,english,15,baseline_mean,0,none,0.001,0.18921823224060338,0.21585279551662137,3564,3564
Qwen/Qwen3-Embedding-8B,english,15,sif_abtt_optimal,10,train_sweep,0.001,0.6394138803905427,0.6775728328964388,3564,3564
Qwen/Qwen3-Embedding-8B,english,15,whitening,0,none,0.001,0.6532409613362015,0.6616328550814901,3564,3564
Qwen/Qwen3-Embedding-8B,english,16,baseline_mean,0,none,0.001,0.17858756442367343,0.20495105441908518,3564,3564
Qwen/Qwen3-Embedding-8B,english,16,sif_abtt_optimal,10,train_sweep,0.001,0.6379838884292963,0.6753079942386022,3564,3564
Qwen/Qwen3-Embedding-8B,english,16,whitening,0,none,0.001,0.6472230611490637,0.656195820556956,3564,3564
Qwen/Qwen3-Embedding-8B,english,17,baseline_mean,0,none,0.001,0.17595397295617654,0.20114152166515192,3564,3564
Qwen/Qwen3-Embedding-8B,english,17,sif_abtt_optimal,10,train_sweep,0.001,0.6385657854714633,0.6758012133980592,3564,3564
Qwen/Qwen3-Embedding-8B,english,17,whitening,0,none,0.001,0.6478021028047362,0.6567449283495872,3564,3564
Qwen/Qwen3-Embedding-8B,english,18,baseline_mean,0,none,0.001,0.17505989794503218,0.20015849696448373,3564,3564
Qwen/Qwen3-Embedding-8B,english,18,sif_abtt_optimal,10,train_sweep,0.001,0.6400904489217482,0.6774328230733684,3564,3564
Qwen/Qwen3-Embedding-8B,english,18,whitening,0,none,0.001,0.6454168467242721,0.6577743491602579,3564,3564
Qwen/Qwen3-Embedding-8B,english,19,baseline_mean,0,none,0.001,0.1733645583294989,0.19887944545071642,3564,3564
Qwen/Qwen3-Embedding-8B,english,19,sif_abtt_optimal,10,train_sweep,0.001,0.6451924396063553,0.6820845108617645,3564,3564
Qwen/Qwen3-Embedding-8B,english,19,whitening,0,none,0.001,0.6460498629699528,0.6571534531571805,3564,3564
Qwen/Qwen3-Embedding-8B,english,20,baseline_mean,0,none,0.001,0.17218437191288735,0.19792037573316987,3564,3564
Qwen/Qwen3-Embedding-8B,english,20,sif_abtt_optimal,10,train_sweep,0.001,0.652498509348506,0.6876204155168892,3564,3564
