model,language,layer,method,pooling,D,spearman_test,baseline_spearman,performance_delta,labse_spearman,recovery_rate,n_test_pairs
Qwen/Qwen3-Embedding-8B,english,31,baseline,lasttok,0,0.8559454331770043,0.6306504897221551,0.22529494345484924,0.7457104708331895,1.9580651872125423,3564
Qwen/Qwen3-Embedding-8B,english,31,abtt_optimal,lasttok,5,0.8716229840870934,0.6306504897221551,0.24097249436493828,0.7457104708331895,2.0943206494393265,3564
Qwen/Qwen3-Embedding-8B,english,31,optimal_transport,none,0,0.7027080434428835,0.6306504897221551,0.07205755372072842,0.7457104708331895,0.6262607817673106,3564
Qwen/Qwen3-Embedding-8B,french,24,baseline,lasttok,0,0.8094972847174831,0.713564585850522,0.0959326988669611,0.8823995291779473,0.5682040516986859,505
Qwen/Qwen3-Embedding-8B,french,24,abtt_optimal,lasttok,5,0.8875808000855007,0.713564585850522,0.1740162142349787,0.8823995291779473,1.0306883800559297,505
Qwen/Qwen3-Embedding-8B,french,24,optimal_transport,none,0,0.885267330504967,0.713564585850522,0.17170274465444502,0.8823995291779473,1.0169858281141368,505
Qwen/Qwen3-Embedding-8B,serbian,24,baseline,lasttok,0,0.7577338702460924,0.6295169101251816,0.12821696012091077,0.7570294256777488,1.0055245131451682,596
Qwen/Qwen3-Embedding-8B,serbian,24,abtt_optimal,lasttok,2,0.8003665745293922,0.6295169101251816,0.17084966440421057,0.7570294256777488,1.3398658450415217,596
Qwen/Qwen3-Embedding-8B,serbian,24,optimal_transport,none,0,0.760413427331606,0.6295169101251816,0.13089651720642437,0.7570294256777488,1.026538584382818,596
Qwen/Qwen3-Embedding-8B,sinhala,32,baseline,lasttok,0,0.44806466195642075,0.4366762586436732,0.011388403312747541,0.6388178916200952,0.056338732130831744,2548
Qwen/Qwen3-Embedding-8B,sinhala,32,abtt_optimal,lasttok,7,0.4690592078915472,0.4366762586436732,0.03238294924787399,0.6388178916200952,0.16019930566035934,2548
Qwen/Qwen3-Embedding-8B,sinhala,32,optimal_transport,none,0,0.5209020454961505,0.4366762586436732,0.08422578685247728,0.6388178916200952,0.41666719325603485,2548
Qwen/Qwen3-Embedding-8B,spanish,27,baseline,lasttok,0,0.7570216571476089,0.6194486331577581,0.13757302398985083,nan,nan,935
Qwen/Qwen3-Embedding-8B,spanish,27,abtt_optimal,lasttok,10,0.8078559622187622,0.6194486331577581,0.1884073290610041,nan,nan,935
Qwen/Qwen3-Embedding-8B,spanish,27,optimal_transport,none,0,0.7750555827425343,0.6194486331577581,0.15560694958477617,nan,nan,935
Qwen/Qwen3-Embedding-8B,tamil,30,baseline,lasttok,0,0.42886540057296857,0.4586576782571655,-0.029792277684196955,0.4498233912935167,3.372346608932405,1300
Qwen/Qwen3-Embedding-8B,tamil,30,abtt_optimal,lasttok,3,0.4549072946236529,0.4586576782571655,-0.0037503836335125995,0.4498233912935167,0.42452590106531557,1300
Qwen/Qwen3-Embedding-8B,tamil,30,optimal_transport,none,0,0.4884180255356968,0.4586576782571655,0.029760347278531274,0.4498233912935167,-3.3687322362278427,1300
Qwen/Qwen3-Embedding-8B,english,31,baseline,lasttok,0,0.8559617991853562,0.6306504897221551,0.2253113094632011,0.7457104708331895,1.9582074261403941,3564
Qwen/Qwen3-Embedding-8B,english,31,abtt_optimal,lasttok,5,0.8716224711568555,0.6306504897221551,0.24097198143470044,0.7457104708331895,2.094316191501537,3564
Qwen/Qwen3-Embedding-8B,english,31,optimal_transport,none,0,0.7027376520160594,0.6306504897221551,0.07208716229390433,0.7457104708331895,0.6265181134032973,3564
Qwen/Qwen3-Embedding-8B,french,24,baseline,lasttok,0,0.809519266893434,0.713564585850522,0.09595468104291205,0.8823995291779473,0.5683342509069643,505
Qwen/Qwen3-Embedding-8B,french,24,abtt_optimal,lasttok,5,0.8876120170680861,0.713564585850522,0.17404743121756416,0.8823995291779473,1.0308732765114277,505
Qwen/Qwen3-Embedding-8B,french,24,optimal_transport,none,0,0.885241983725959,0.713564585850522,0.171677397875437,0.8823995291779473,1.016835700548667,505
Qwen/Qwen3-Embedding-8B,serbian,24,baseline,lasttok,0,0.7576191232672842,0.6295169101251816,0.12810221314210257,0.7570294256777488,1.00462462517487,596
Qwen/Qwen3-Embedding-8B,serbian,24,abtt_optimal,lasttok,2,0.8003406367262377,0.6295169101251816,0.17082372660105605,0.7570294256777488,1.3396624312586305,596
Qwen/Qwen3-Embedding-8B,serbian,24,optimal_transport,none,0,0.7603839344567472,0.6295169101251816,0.1308670243315656,0.7570294256777488,1.0263072904213513,596
Qwen/Qwen3-Embedding-8B,sinhala,32,baseline,lasttok,0,0.44814704758550467,0.4366762586436732,0.011470788941831456,0.6388178916200952,0.056746296014979866,2548
Qwen/Qwen3-Embedding-8B,sinhala,32,abtt_optimal,lasttok,7,0.4690199504887379,0.4366762586436732,0.03234369184506469,0.6388178916200952,0.16000509825127068,2548
Qwen/Qwen3-Embedding-8B,sinhala,32,optimal_transport,none,0,0.5209193632605786,0.4366762586436732,0.08424310461690543,0.6388178916200952,0.4167528646942891,2548
Qwen/Qwen3-Embedding-8B,spanish,27,baseline,lasttok,0,0.7570609555864193,0.6194486331577581,0.13761232242866117,nan,nan,935
Qwen/Qwen3-Embedding-8B,spanish,27,abtt_optimal,lasttok,10,0.8078744114353954,0.6194486331577581,0.1884257782776373,nan,nan,935
Qwen/Qwen3-Embedding-8B,spanish,27,optimal_transport,none,0,0.7750486378390212,0.6194486331577581,0.15560000468126312,nan,nan,935
Qwen/Qwen3-Embedding-8B,tamil,30,baseline,lasttok,0,0.42873309787761216,0.4586576782571655,-0.029924580379553367,0.4498233912935167,3.387322655771364,1300
Qwen/Qwen3-Embedding-8B,tamil,30,abtt_optimal,lasttok,3,0.4549134413963141,0.4586576782571655,-0.003744236860851402,0.4498233912935167,0.4238301151250931,1300
