model,taskA_best_layer,taskA_acc_at_1,taskA_overall_assignment_acc,taskA_aucroc,taskB_best_layer,taskB_acc_at_1_mean,taskB_acc_at_1_std
bowphs/LaTa,1,0.5353982300884956,0.8451327433628318,0.6856437933047083,1,0.4658499296498547,0.0221057617854338
bowphs/PhilTa,2,0.5442477876106194,0.8451327433628318,0.6708378090327429,10,0.4708685351443935,0.0337496715669846
google/mt5-base,4,0.5,0.8451327433628318,0.6291394781020262,1,0.4059076548251659,0.0287974722012993
sentence-transformers/LaBSE,1,0.5265486725663717,0.8451327433628318,0.631210063144827,12,0.4355072316616737,0.0394869605787725
Qwen/Qwen3-Embedding-0.6B,3,0.5309734513274337,0.8451327433628318,0.6475053152455456,14,0.4354244275143685,0.0178944761260517
KaLM-Embedding/KaLM-embedding-multilingual-mini-instruct-v2.5,9,0.5353982300884956,0.8495575221238938,0.6367056660823682,23,0.4280778456247309,0.0282840867108079
